load_zone,avg_growth,peak_growth
p8,0.009482487753865758,0.007804142811592919
p80,0.02550733613972672,0.015767920869622264
p81,0.011234854708413705,0.008083844703794732
p82,0.011180767879556797,0.008202504149124447
p83,0.010793453369435047,0.0077760117707072664
p84,0.0028533049656533247,0.005070708897681692
p85,0.011832100604573952,0.012514878818323923
p86,0.0215169408044123,0.01572058643428139
p87,0.019199087611452077,0.01507650853750052
p88,0.00486196837114825,0.007683360519722395
p89,0.0048740079051543,0.004662637059437468
p9,0.026907484723210525,0.02709474371363047
p90,0.0050521647382359555,0.003117176107967963
p91,0.013683574459448868,0.01278585830122086
p92,0.005036223868647852,0.007802876578627822
p93,0.007807017670072514,0.008729611477161777
p94,0.027540912989368574,0.03454007984879319
p95,0.01970154207200969,0.021690911264432906
p96,0.023707350644417296,0.019118604697312996
p97,0.01611199342895732,0.018039941662581153
p98,0.023819616683666136,0.026916090601798563
p99,0.03762158372008509,0.0433508022960311
