"Sector","Year","DemandTWh","Zone","Scenario"
"Transportation",2025,0.194111406803131,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2026,67.1482238769531,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2026,72.541618347168,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2026,80.2955093383789,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2026,0.197949036955833,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2027,65.6972427368164,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2027,72.7949523925781,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2027,78.0956268310547,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2027,0.199299439787865,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2028,66.4677886962891,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2028,73.2700576782227,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2028,77.339485168457,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2028,0.19880011677742,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2029,67.154052734375,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2029,73.6053085327148,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2029,76.6536026000977,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2029,0.197083681821823,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2030,67.6989059448242,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2030,73.8264846801758,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2030,76.5404586791992,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2030,0.194519147276878,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2031,68.1365509033203,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2031,74.0962371826172,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2031,76.573600769043,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2031,0.192214578390121,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2032,68.6828765869141,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2032,74.9488296508789,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2032,76.6758728027344,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2032,0.189802914857864,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2033,69.3387985229492,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2033,75.8384323120117,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2033,76.9541168212891,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2033,0.187697172164917,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2034,70.2719268798828,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2034,77.1382522583008,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2034,77.6930847167969,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2034,0.185966834425926,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2035,71.3621826171875,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2035,78.561637878418,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2035,78.5200347900391,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2035,0.185802787542343,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2036,72.4876403808594,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2036,80.0102386474609,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2036,79.5204086303711,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2036,0.185311526060104,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2037,73.5527191162109,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2037,81.2844390869141,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2037,80.800407409668,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2037,0.186423227190971,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2038,74.5408630371094,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2038,82.3111724853516,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2038,81.7351531982422,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2038,0.187405794858932,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2039,75.4889755249023,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2039,83.4639282226562,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2039,82.8993835449219,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2039,0.188564836978912,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2040,76.3074417114258,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2040,84.4648284912109,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2040,83.7140197753906,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2040,0.189382836222649,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2041,77.1556015014648,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2041,85.4871978759766,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2041,84.3178329467773,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2041,0.190373659133911,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2042,78.021598815918,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2042,86.4289932250977,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2042,84.7463912963867,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2042,0.191145971417427,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2043,78.8926010131836,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2043,87.29296875,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2043,84.9688339233398,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2043,0.192568987607956,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2044,79.6760940551758,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2044,88.0086441040039,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2044,84.9936370849609,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2044,0.193547323346138,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2045,80.3706893920898,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2045,88.628303527832,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2045,85.2599182128906,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2045,0.194704115390778,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2046,81.0870590209961,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2046,89.1921005249023,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2046,85.711296081543,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2046,0.195952564477921,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2047,81.7848663330078,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2047,89.6488876342773,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2047,86.0993728637695,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2047,0.197151929140091,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2048,82.4684600830078,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2048,90.0012435913086,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2048,86.4563522338867,"Midcontinent / West","Counterfactual Baseline case"
