from_zone,to_zone,from_transreg,to_transreg,transreg,line_type,region,project_name,existing_cap_mw,new_cap_mw,new_cap_year,total_cap_mw,trans_length_km,trans_efficiency
p48,p50,SPP,SPP,SPP,Existing,SPP,Line  - Beckham County - Potter -345 kV New Line,1691.8,1792.0,2035.0,3483.8,503.1076404,0.97123745
p49,p50,SPP,SPP,SPP,Planned Intra-Region,SPP,Plains & Eastern Clean Line,45.2,4000.0,2035.0,4045.2,388.5496668,0.970953551
p49,p52,SPP,SPP,SPP,Existing,SPP,,105.5,,,105.5,158.1333683,0.945121248
p49,p53,SPP,SPP,SPP,Existing,SPP,,8.0,,,8.0,400.2175132,0.970140061
p5,p10,NorthernGrid,CAISO,NorthernGrid / CAISO,Existing,Cross-Region,,2780.0,,,2780.0,1578.690535,0.907579354
p5,p14,NorthernGrid,NorthernGrid,NorthernGrid,Existing,NorthernGrid,,352.0,,,352.0,570.9277795,0.96729554
p5,p15,NorthernGrid,NorthernGrid,NorthernGrid,Existing,NorthernGrid,,478.0,,,478.0,656.1759548,0.962399065
p5,p6,NorthernGrid,NorthernGrid,NorthernGrid,Existing,NorthernGrid,Blueprint South: Snow Goose to Full Circle 500kV Line,3809.0,2482.0,2035.0,6291.0,481.596118,0.972363722
p5,p7,NorthernGrid,NorthernGrid,NorthernGrid,Existing,NorthernGrid,Monutain View-Lambert #2 400-599kV Line | Monutain View-Lambert #1 400-599kV Line,1778.0,7966.0,2035.0,9744.0,582.7741691,0.966599214
p50,p56,SPP,SPP,SPP,Planned Intra-Region,SPP,Plains & Eastern Clean Line,878.2,4000.0,2035.0,4878.2,312.3140463,0.976609992
p50,p60,SPP,ERCOT,SPP / ERCOT,Existing,Cross-Region,,220.0,,,220.0,522.1814882,0.970147057
p50,p85,SPP,MISO,SPP / MISO,Existing,Cross-Region,,225.7,,,225.7,516.9314998,0.970358873
p50,p53,SPP,SPP,SPP,Existing,SPP,,104.2,,,104.2,261.8032767,0.980453253
p50,p57,SPP,SPP,SPP,Existing,SPP,,952.1,,,952.1,488.5079115,0.972004403
p51,p53,SPP,SPP,SPP,Existing,SPP,,112.8,,,112.8,197.1226542,0.931633136
p51,p55,SPP,SPP,SPP,Existing,SPP,Line - mo kV Ckt 1 New Line,35.4,1792.0,2035.0,1827.4,253.4765269,0.980992003
p51,p56,SPP,SPP,SPP,Existing,SPP,Multi - Ft Smith - Muskogee 345 kV New Line Muskogee - Talequah 161 kV Rebuild,3107.6,2598.0,2035.0,5705.6,142.5638292,0.950544599
p52,p53,SPP,SPP,SPP,Existing,SPP,,610.7,,,610.7,311.9387074,0.976730037
p53,p54,SPP,SPP,SPP,Planned Intra-Region,SPP,Grain Belt Line,1406.6,5000.0,2030.0,6406.6,279.9176464,0.979019023
p53,p55,SPP,SPP,SPP,Existing,SPP,,1085.7,,,1085.7,356.1127453,0.973361658
p54,p72,SPP,MISO,SPP / MISO,Cross-TransReg,Cross-Region,Grain Belt Line,1184.0,5000.0,2030.0,6184.0,328.471303,0.975420621
p54,p70,SPP,MISO,SPP / MISO,Existing,Cross-Region,LRTP-09: Orient Denny - Fairport,192.9,1792.0,2030.0,1984.9,280.9659736,0.978926056
p54,p71,SPP,MISO,SPP / MISO,Existing,Cross-Region,,158.5,,,158.5,262.3227766,0.980382993
p54,p55,SPP,SPP,SPP,Existing,SPP,,1037.2,,,1037.2,264.9810016,0.98017806
p55,p72,SPP,MISO,SPP / MISO,Existing,Cross-Region,,139.8,,,139.8,277.877539,0.979114185
p55,p84,SPP,MISO,SPP / MISO,Existing,Cross-Region,,997.7,,,997.7,292.9212064,0.978006998
p55,p85,SPP,MISO,SPP / MISO,Existing,Cross-Region,,490.0,,,490.0,333.7771906,0.966393045
p55,p56,SPP,SPP,SPP,Existing,SPP,,206.6,,,206.6,118.1765783,0.958971526
p56,p85,SPP,MISO,SPP / MISO,Cross-TransReg,Cross-Region,Plains & Eastern Clean Line,1935.8,4000.0,2035.0,5935.8,253.9442768,0.980952076
p56,p57,SPP,SPP,SPP,Existing,SPP,,0.0,,,0.0,538.2790402,0.969124153
p57,p58,SPP,MISO,SPP / MISO,Existing,Cross-Region,,1325.6,,,1325.6,619.2670481,0.964529892
