region,year,dc_avg_added_mw,dc_peak_added_mw,nondc_avg_added_mw,nondc_peak_added_mw,dc_minus_nondc_avg_mw,dc_avg_share_of_total
p32,2028,2.764041937775005,2.764041937775005,12.677152629397,20.575052899061973,-9.913110691621995,0.17900441094443306
p32,2029,3.3213841012050125,3.3213841012050125,15.306739605421996,24.842879651335977,-11.985355504216983,0.17829944408321813
p32,2030,3.880247154572004,3.880247154572004,17.968614921908,29.163110467238027,-14.088367767335995,0.17759493107648092
p32,2031,4.174959822722002,4.174959822722002,22.109986960053988,35.884568451577024,-17.935027137331986,0.15883463098573863
p32,2032,4.470095436554004,4.470095436554004,26.32951436391201,42.73287280519901,-21.859418927358007,0.14513480740546164
p32,2033,4.765654603043998,4.765654603043998,30.62867207008199,49.710417354181004,-25.86301746703799,0.13464458999476994
p32,2034,5.061637930036994,5.061637930036994,35.008962849949995,56.81964110053502,-29.947324919913,0.12631799452742415
p32,2035,5.358046026250008,5.358046026250008,39.471917834984,64.063029074761,-34.11387180873399,0.11951930282244311
p32,2036,5.654879501273996,5.654879501273996,44.01909705193901,71.44311320448998,-38.36421755066502,0.11383987942290534
p32,2037,5.9521389655770065,5.9521389655770065,48.65208996816801,78.96247319952198,-42.69995100259101,0.10900509139684285
p32,2038,6.249825030501,6.249825030501,53.372516047217005,86.62373745355802,-47.122691016716004,0.10482354294599609
p32,2039,6.547938308265003,6.547938308265003,58.18202531491298,94.429583962962,-51.634087006647974,0.10115776283119014
p32,2040,6.84647941196701,6.84647941196701,63.082298936125,102.38274126285398,-56.23581952415799,0.09790646388653541
p32,2041,7.071067502901002,7.071067502901002,66.71205735593,108.27384896515599,-59.640989853029,0.09583583666902223
p32,2042,7.295897714742011,7.295897714742011,70.39161586253297,114.245782342609,-63.09571814779096,0.09391338940825872
p32,2043,7.520970308512005,7.520970308512005,74.12165771039898,120.29965031904902,-66.60068740188697,0.09212062976181895
p32,2044,7.746285545514013,7.746285545514013,77.90287552820499,126.43657703268798,-70.15658998269097,0.09044204809953381
p32,2045,7.971843687334001,7.971843687334001,81.73597144745699,132.657702044855,-73.76412776012299,0.08886453956498508
p32,2046,8.197644995839,8.197644995839,85.62165723286702,138.964180551595,-77.42401223702802,0.08737695549957687
p32,2047,8.423689733179998,8.423689733179998,89.56065441451997,145.35718359817997,-81.13696468133998,0.08596975166239076
p32,2048,8.649978161787999,8.649978161787999,93.55369442185301,151.83789829656098,-84.90371626006501,0.08463470972345995
p32,2049,8.876510544380011,8.876510544380011,97.60151871947599,158.40752804579802,-88.72500817509598,0.08336471482190688
p32,2050,9.103287143953992,9.103287143953992,101.70487894485203,165.067292755521,-92.60159180089803,0.0821535764490341
p33,2023,0.0,0.0,0.0,0.0,0.0,
p33,2024,11.56727055231022,11.56727055231022,61.38844393881027,94.22800118644955,-49.82117338650005,0.15855194665687336
p33,2025,23.16130401537066,23.16130401537066,123.53066822272012,189.61301517034008,-100.36936420734946,0.15789073977257823
p33,2026,34.78216230988983,34.78216230988983,186.43592841794998,286.1692487542896,-151.65376610806015,0.15723018942732683
p33,2027,46.42990749982073,46.42990749982073,250.11359373859068,383.91108318429997,-203.68368623876995,0.15657030859190058
p33,2028,58.10460179271013,58.10460179271013,314.5731484420003,482.85307629174986,-256.46854664929015,0.1559111102181876
p33,2029,69.8063075400405,69.8063075400405,379.8241932414503,583.00996466164,-310.0178857014098,0.15525260723796988
p33,2030,81.53508723755021,81.53508723755021,445.87644673608065,684.3966658274803,-364.34135949853044,0.15459481256173427
p33,2031,87.71600304933054,87.71600304933054,548.6411983324406,842.1351018269197,-460.92519528311004,0.13784082722544203
p33,2032,93.90443771461014,93.90443771461014,653.3453112490106,1002.8503544559608,-559.4408735344005,0.12566673705123158
p33,2033,100.10040037983072,100.10040037983072,760.02538482819,1166.5986017614196,-659.9249844483593,0.11637879261534
p33,2034,106.3039002024907,106.3039002024907,868.7187091098003,1333.4370819740197,-762.4148089073096,0.10902711299943046
p33,2035,112.51494635127983,112.51494635127983,979.4632778658306,1503.42411351595,-866.9483315145508,0.10303771985192012
p33,2036,118.7335480060201,118.7335480060201,1092.29780188116,1676.6191153861091,-973.5642538751399,0.09804333142744928
p33,2037,124.95971435770025,124.95971435770025,1207.26172248491,1853.08262793006,-1082.3020081272098,0.09379800602357602
p33,2038,131.19345460849036,131.19345460849036,1324.39522533719,2032.8763340018395,-1193.2017707286996,0.09013085661904587
p33,2039,137.43477797176,137.43477797176,1443.7392544760005,2216.0630805253004,-1306.3044765042405,0.08691945045353547
p33,2040,143.68369367208015,143.68369367208015,1565.33552662922,2402.706900462201,-1421.65183295714,0.08407377281968116
p33,2041,148.38248698969073,148.38248698969073,1655.4050057608501,2540.9587674574996,-1507.0225187711594,0.0822616231601799
p33,2042,153.08557308927993,153.08557308927993,1746.7102332150507,2681.107442499,-1593.6246601257708,0.08058001422114781
p33,2043,157.79295589270987,157.79295589270987,1839.2681633911407,2823.1789496891997,-1681.4752074984308,0.0790125822234698
p33,2044,162.5046393254106,162.5046393254106,1933.0959833018906,2967.19967018,-1770.59134397648,0.07754561511900818
p33,2045,167.22062731642018,167.22062731642018,2028.2111157649406,3113.1963470709998,-1860.9904884485204,0.07616753645081241
p33,2046,171.94092379832,171.94092379832,2124.6312226380205,3261.196090375999,-1952.6902988397005,0.07486850524819168
p33,2047,176.6655327073504,176.6655327073504,2222.3742080986003,3411.2263820564003,-2045.70867539125,0.07364010262205999
p33,2048,181.39445798328052,181.39445798328052,2321.45822196847,3563.3150811247997,-2140.0637639851893,0.07247508390576844
p33,2049,186.12770356953024,186.12770356953024,2421.9016630839906,3717.4904288179005,-2235.7739595144603,0.07136718088736824
p33,2050,190.8652734130901,190.8652734130901,2523.7231827125406,3873.7810538405993,-2332.8579092994505,0.0703109427075
p34,2023,0.0,0.0,0.0,0.0,0.0,
p34,2024,3.4981499312700635,3.4981499312700635,22.254063461270107,34.15979923125997,-18.755913530000043,0.1358388064725884
p34,2025,7.003051757860021,7.003051757860021,44.78138153790019,68.73904198643004,-37.77832978004017,0.13523468950336834
p34,2026,10.514718511840101,10.514718511840101,67.58530948611019,103.7428785554398,-57.07059097427009,0.13463143076102427
p34,2027,14.033163250410098,14.033163250410098,90.66924376084012,139.17652246791022,-76.63608051043002,0.13402904146131275
p34,2028,17.55839905598009,17.55839905598009,114.03662252166009,175.0452512697002,-96.47822346568,0.133427532785659
p34,2029,21.090439036220005,21.090439036220005,137.6909261448102,211.35440730892014,-116.60048710859019,0.13282691588004877
p34,2030,24.62929632409009,24.62929632409009,161.63567774163016,248.1093985316702,-137.00638141754007,0.1322272018538498
p34,2031,26.49306373930017,26.49306373930017,198.88915994241006,305.29317869200986,-172.3960962031099,0.11754726396130628
p34,2032,28.358722061750086,28.358722061750086,236.84568439552004,363.55612276471993,-208.48696233376995,0.10693156437549335
p34,2033,30.226273209869987,30.226273209869987,275.51851881125003,422.9185965728798,-245.29224560138005,0.09886112208178525
p34,2034,32.09571910404998,32.09571910404998,314.92118128614993,483.40135028039003,-282.82546218209995,0.09249036305713135
p34,2035,33.96706166664012,33.96706166664012,355.06744502832,545.0255256452101,-321.10038336167986,0.08731117955372919
p34,2036,35.8403028219102,35.8403028219102,395.9713431718001,607.8126634094601,-360.1310403498899,0.0829998522606596
p34,2037,37.715444496110194,37.715444496110194,437.64717368190986,671.7847108289602,-399.93172918579967,0.07934036681442633
p34,2038,39.592488617430035,39.592488617430035,480.10950435304994,736.9640293449502,-440.5170157356199,0.0761830609714036
p34,2039,41.47143711602007,41.47143711602007,523.3731779009099,803.3734024004898,-481.90174078488985,0.07342096571953165
p34,2040,43.35229192399015,43.35229192399015,567.4533171507301,871.0360434044601,-524.1010252267399,0.07097559563944154
p34,2041,44.76597252122019,44.76597252122019,600.1046074573801,921.1554979237499,-555.3386349361599,0.06941853747259757
p34,2042,46.18073004337998,46.18073004337998,633.20387167944,971.9625886150998,-587.02314163606,0.06797435491807204
p34,2043,47.59656531088012,47.59656531088012,666.7572559945202,1023.4667498091499,-619.16069068364,0.06662883838698143
p34,2044,49.01347914473013,49.01347914473013,700.7709909054201,1075.6775452750398,-651.75751176069,0.06537009114292777
p34,2045,50.43147236656,50.43147236656,735.2513923971101,1128.6046699962899,-684.8199200305501,0.06418807718522608
p34,2046,51.85054579864004,51.85054579864004,770.2048631095399,1182.2579519710598,-718.3543173108999,0.06307427119481616
p34,2047,53.270700263860135,53.270700263860135,805.6378935265102,1236.6473540371198,-752.3671932626501,0.062021384637422385
p34,2048,54.69193658572999,54.69193658572999,841.5570631809201,1291.78297572182,-786.8651265951901,0.061023149370286314
p34,2049,56.114255588420065,56.114255588420065,877.9690418764799,1347.67505511746,-821.8547862880598,0.060074145143922425
p34,2050,57.53765809668016,57.53765809668016,914.8805909262701,1404.3339707824398,-857.3429328295899,0.05916966095041086
p35,2023,0.0,0.0,0.0,0.0,0.0,
p35,2024,0.319715309647691,0.319715309647691,0.0,0.0,0.319715309647691,1.0
p35,2025,0.6407119970736943,0.6407119970736943,0.0,0.0,0.6407119970736943,1.0
p35,2026,0.9629951978749887,0.9629951978749887,0.0,0.0,0.9629951978749887,1.0
p35,2027,1.2865700682315975,1.2865700682315975,0.0,0.0,1.2865700682315975,1.0
p35,2028,1.6114417849885996,1.6114417849885996,0.0,0.0,1.6114417849885996,1.0
p35,2029,1.9376155457392912,1.9376155457392912,0.0,0.0,1.9376155457392912,1.0
p35,2030,2.26509656890849,2.26509656890849,0.0,0.0,2.26509656890849,1.0
p35,2031,2.4381505590533976,2.4381505590533976,0.7721795399640001,1.1422222597650062,1.6659710190893975,0.7594703609450177
p35,2032,2.6115696003589903,2.6115696003589903,1.551833661784599,2.295501059282003,1.0597359385743914,0.627267991093994
p35,2033,2.7853544628875966,2.7853544628875966,2.339034718290492,3.459943424193,0.4463197445971048,0.5435485800177355
p35,2034,2.9595059183258883,2.9595059183258883,3.1338557626747985,4.635657416133,-0.1743498443489102,0.48569346007372755
p35,2035,3.1340247399883907,3.1340247399883907,3.9363705552745927,5.822752142756997,-0.802345815286202,0.44326018689338653
p35,2036,3.308911702820893,3.308911702820893,4.746653570415887,7.021337767866001,-1.437741867594994,0.41076095724954015
p35,2037,3.484167583403888,3.484167583403888,5.564780003324998,8.231525521630005,-2.08061241992111,0.3850356685139541
p35,2038,3.659793159956294,3.659793159956294,6.3908257771066985,9.453427710908997,-2.7310326171504045,0.36413609777407047
p35,2039,3.835789212338298,3.835789212338298,7.22486754979019,10.687157729678006,-3.389078337451892,0.3467957911389113
p35,2040,4.012156522055292,4.012156522055292,8.0669827214425,11.932830069548999,-4.0548261993872075,0.3321558300782929
p35,2041,4.145024224758899,4.145024224758899,8.62638052500759,12.760301648666001,-4.481356300248692,0.32455507487026325
p35,2042,4.278102633856392,4.278102633856392,9.1893408291633,13.593042944557993,-4.9112381953069075,0.31766256495552786
p35,2043,4.411392083493595,4.411392083493595,9.75588632153989,14.431087517186995,-5.344494238046295,0.3113789365448112
p35,2044,4.544892908346199,4.544892908346199,10.326039834252597,15.27446914024,-5.781146925906398,0.3056225851474027
p35,2045,4.678605443620498,4.678605443620498,10.899824344821994,16.123221802491997,-6.221218901201496,0.3003258677001912
p35,2046,4.812530025054798,4.812530025054798,11.477262977100096,16.977379709172,-6.6647329520452985,0.29543223934264684
p35,2047,4.9466669889191905,4.9466669889191905,12.058379002202187,17.836977283343003,-7.111712013282997,0.29089406706114934
p35,2048,5.081016672017697,5.081016672017697,12.643195839444587,18.702049167293012,-7.562179167426891,0.2866709405978851
p35,2049,5.215579411687997,5.215579411687997,13.231737057288399,19.572630223923,-8.016157645600401,0.28272835349571035
p35,2050,5.350355545802898,5.350355545802898,13.824026374289687,20.448755538162004,-8.473670828486789,0.2790366629860611
p36,2023,0.0,0.0,0.0,0.0,0.0,
p36,2024,21.64354566581801,21.64354566581801,0.0,0.0,21.64354566581801,1.0
p36,2025,43.885440778583984,43.885440778583984,0.0,0.0,43.885440778583984,1.0
p36,2026,66.74222708548405,66.74222708548405,0.0,0.0,66.74222708548405,1.0
p36,2027,90.23090364072402,90.23090364072402,0.0,0.0,90.23090364072402,1.0
p36,2028,114.368939448064,114.368939448064,0.0,0.0,114.368939448064,1.0
p36,2029,139.174286452871,139.174286452871,0.0,0.0,139.174286452871,1.0
p36,2030,164.66539289334798,164.66539289334798,0.0,0.0,164.66539289334798,1.0
p36,2031,178.64698983226003,178.64698983226003,7.578278052661062,12.438606811849922,171.06871177959897,0.9593058550070439
p36,2032,192.83489092646005,192.83489092646005,15.22991269754607,24.997617467610098,177.60497822891398,0.9268020711226679
p36,2033,207.23214027775407,207.23214027775407,22.955614015440005,37.678197458380055,184.27652626231406,0.9002743908513872
p36,2034,221.841826904909,221.841826904909,30.75609896060098,50.48152355704997,191.08572794430802,0.8782408887356566
p36,2035,236.667085406419,236.667085406419,38.632091427298974,63.40878392749005,198.03499397912003,0.8596723322182945
p36,2036,251.71109663305901,251.71109663305901,46.58432231698998,76.46117823481995,205.12677431606903,0.8438315865494711
p36,2037,266.97708837035907,266.97708837035907,54.61352960614704,89.63991775673003,212.36355876421203,0.8301768566826261
p36,2038,282.46833603111895,282.46833603111895,62.72045841474403,102.94622549591008,219.74787761637492,0.8183010010060432
