scenario_id,zone,state,variant,siting,soft_cap_mw,cfe_target,grid_draw_MWh_yr,grid_draw_MW_mean,onsite_MWh_yr,grid_fraction_pct,onsite_build_MW,storage_power_MW,storage_energy_MWh,annual_cap_excess_MWh,hours_above_grid_cap,grid_cap_penalty_per_yr,cfe_shortfall_MWh,cfe_shortfall_penalty_per_yr,annual_co2_tonne,co2_lb_kg_per_MWh,scope1_co2_tonne,mb_uncovered_grid_MWh,annual_co2_mb_tonne,co2_mb_kg_per_MWh,system_co2_tonne,total_system_cost,gas_cc_MW,gas_ct_MW,nuclear_MW,wind_MW,solar_MW,consequential_co2_tonne,co2_consequential_kg_per_MWh
p100_BASE,p100,VA,BASE,fixed,,,4503890,514.1,4256110,51.4,1334.2,0.0,0.0,0.0,0.0,0,0.0,0,1409011,160.8,0,247780,77516,8.8,1020533863,803732802461.4197,0.0,0.0,0,1334.2,0.0,3014302,344.1
p100_SC,p100,VA,SC,fixed,250.0,,1392590,159.0,7367410,15.9,1174.2,0.3,0.7,25.9,3.4,19449,0.0,0,2342337,267.4,1912920,2986,1913841,218.5,1019283323,803856608909.9598,717.5,0.0,0,402.1,54.6,1763762,201.3
p100_MC,p100,VA,MC,fixed,900.0,,4107680,468.9,4652320,46.9,1351.4,3.9,8.5,4.8,3.4,3626,0.0,0,1481355,169.1,195961,66951,216911,24.8,1020477033,803744842900.0294,76.9,0.0,0,1247.9,26.6,2957472,337.6
p100_SC_CURT,p100,VA,SC_CURT,fixed,250.0,,1392590,159.0,7367410,15.9,1174.2,0.3,0.7,25.9,3.4,19448,0.0,0,2342406,267.4,1912921,2986,1913842,218.5,1019286650,803856576771.0896,717.5,0.0,0,402.1,54.6,1767089,201.7
p100_MC_CURT,p100,VA,MC_CURT,fixed,900.0,,3791420,432.8,4968580,43.3,1409.3,3.8,8.2,0.0,3.4,2,0.0,0,1515728,173.0,327452,0,327452,37.4,1020441937,803758114450.0359,133.8,0.0,0,1171.8,103.7,2922376,333.6
p100_FLEX_SC,p100,VA,FLEX_SC,flex,250.0,,38441,4.4,8721559,0.4,2099.3,118.8,258.2,0.0,3.4,1,0.0,0,1367627,156.1,1354428,0,1354428,154.6,1017765894,803877618067.1324,762.2,107.9,0,1041.9,187.3,246333,28.1
p100_FLEX_MC,p100,VA,FLEX_MC,flex,900.0,,38441,4.4,8721559,0.4,2099.3,118.8,258.2,0.0,0.0,1,0.0,0,1367627,156.1,1354428,0,1354428,154.6,1017761018,803877600665.4521,762.2,107.9,0,1041.9,187.3,241457,27.6
p100_SC_CFE75,p100,VA,SC_CFE75,fixed,250.0,0.75,1036710,118.3,7723290,11.8,2631.0,327.1,670.1,187.8,3.4,140867,401.0,200485,970656,110.8,646788,0,646788,73.8,1018702163,803970271121.5421,485.2,0.0,0,1640.1,505.8,1182602,135.0
p100_SC_CFE100,p100,VA,SC_CFE100,fixed,250.0,1.0,1350450,154.2,7409550,15.4,2778.9,1553.7,765.3,198.0,3.4,148470,1691.9,845960,1079736,123.3,664023,0,664023,75.8,1018867717,804138429807.1572,436.8,27.0,0,1719.2,596.0,1348156,153.9
p100_MC_CFE75,p100,VA,MC_CFE75,fixed,900.0,0.75,3633790,414.8,5126210,41.5,1774.5,210.1,456.8,13.2,3.4,9878,2723.3,1361655,1144342,130.6,0,0,0,0.0,1020435100,803793250095.6359,0.0,0.0,0,1595.0,179.5,2915539,332.8
p100_MC_CFE100,p100,VA,MC_CFE100,fixed,900.0,1.0,3944640,450.3,4815360,45.0,1929.4,1299.8,745.6,0.0,3.4,2,5325.8,2662900,1230321,140.4,0,0,0,0.0,1020537656,803959018750.8564,0.0,0.0,0,1719.2,210.2,3018095,344.5
p100_FLEX_SC_CFE100,p100,VA,FLEX_SC_CFE100,flex,250.0,1.0,27940,3.2,8732060,0.3,3033.3,1098.8,2627.7,0.0,3.4,2,265.4,132675,654434,74.7,645263,0,645263,73.7,1017480421,804050559478.2809,334.8,230.4,0,1339.3,1128.8,-39140,-4.5
p100_FLEX_MC_CFE100,p100,VA,FLEX_MC_CFE100,flex,900.0,1.0,27941,3.2,8732059,0.3,3033.3,1098.8,2627.7,0.0,3.4,3,306.8,153420,654434,74.7,645263,0,645263,73.7,1017478707,804050636545.472,334.8,230.4,0,1339.3,1128.8,-40854,-4.7
