GENERATION_PROJECT,BUILD_YEAR,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost,gen_storage_energy_fixed_om
p10_natural_gas_fired_combustion_turbine_1,2013.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,2014.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,2015.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,2017.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,2019.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,2020.0,0,13086,.,.
p10_natural_gas_fired_combustion_turbine_1,2025.0,0,13086,.,.
p10_onshore_wind_turbine_1,1981.0,0,31648,.,.
p10_onshore_wind_turbine_1,1982.0,0,31648,.,.
p10_onshore_wind_turbine_1,1983.0,0,31648,.,.
p10_onshore_wind_turbine_1,1984.0,0,31648,.,.
p10_onshore_wind_turbine_1,1985.0,0,31648,.,.
p10_onshore_wind_turbine_1,1986.0,0,31648,.,.
p10_onshore_wind_turbine_1,1987.0,0,31648,.,.
p10_onshore_wind_turbine_1,1989.0,0,31648,.,.
p10_onshore_wind_turbine_1,1990.0,0,31648,.,.
p10_onshore_wind_turbine_1,1992.0,0,31648,.,.
p10_onshore_wind_turbine_1,1993.0,0,31648,.,.
p10_onshore_wind_turbine_1,1994.0,0,31648,.,.
p10_onshore_wind_turbine_1,1997.0,0,31648,.,.
p10_onshore_wind_turbine_1,1999.0,0,31648,.,.
p10_onshore_wind_turbine_1,2000.0,0,31648,.,.
p10_onshore_wind_turbine_1,2002.0,0,31648,.,.
p10_onshore_wind_turbine_1,2003.0,0,31648,.,.
p10_onshore_wind_turbine_1,2004.0,0,31648,.,.
p10_onshore_wind_turbine_1,2005.0,0,31648,.,.
p10_onshore_wind_turbine_1,2008.0,0,31648,.,.
p10_onshore_wind_turbine_1,2009.0,0,31648,.,.
p10_onshore_wind_turbine_1,2011.0,0,31648,.,.
p10_onshore_wind_turbine_1,2012.0,0,31648,.,.
p10_onshore_wind_turbine_1,2014.0,0,31648,.,.
p10_onshore_wind_turbine_1,2015.0,0,31648,.,.
p10_onshore_wind_turbine_1,2017.0,0,31648,.,.
p10_onshore_wind_turbine_1,2018.0,0,31648,.,.
p10_onshore_wind_turbine_1,2019.0,0,31648,.,.
p10_onshore_wind_turbine_1,2021.0,0,31648,.,.
p10_onshore_wind_turbine_1,2022.0,0,31648,.,.
p10_onshore_wind_turbine_1,2024.0,0,31648,.,.
p10_onshore_wind_turbine_1,2025.0,0,31648,.,.
p10_other_peaker_1,1526.0,0,25800,.,.
p10_other_peaker_1,1527.0,0,25800,.,.
p10_other_peaker_1,1529.0,0,25800,.,.
p10_other_peaker_1,1531.0,0,25800,.,.
p10_other_peaker_1,1948.0,0,25800,.,.
p10_other_peaker_1,1959.0,0,25800,.,.
p10_other_peaker_1,1962.0,0,25800,.,.
p10_other_peaker_1,1963.0,0,25800,.,.
p10_other_peaker_1,1964.0,0,25800,.,.
p10_other_peaker_1,1968.0,0,25800,.,.
p10_other_peaker_1,1982.0,0,25800,.,.
p10_other_peaker_1,1984.0,0,25800,.,.
p10_other_peaker_1,1985.0,0,25800,.,.
p10_other_peaker_1,1988.0,0,25800,.,.
p10_other_peaker_1,1991.0,0,25800,.,.
p10_other_peaker_1,2001.0,0,25800,.,.
p10_other_peaker_1,2002.0,0,25800,.,.
p10_other_peaker_1,2004.0,0,25800,.,.
p10_other_peaker_1,2005.0,0,25800,.,.
p10_other_peaker_1,2006.0,0,25800,.,.
p10_other_peaker_1,2012.0,0,25800,.,.
p10_other_peaker_1,2013.0,0,25800,.,.
p10_other_peaker_1,2015.0,0,25800,.,.
p10_other_peaker_1,2016.0,0,25800,.,.
p10_other_peaker_1,2017.0,0,25800,.,.
p10_other_peaker_1,2018.0,0,25800,.,.
p10_other_peaker_1,2019.0,0,25800,.,.
p10_other_peaker_1,2020.0,0,25800,.,.
p10_other_peaker_1,2021.0,0,25800,.,.
p10_other_peaker_1,2022.0,0,25800,.,.
p10_other_peaker_1,2023.0,0,25800,.,.
p10_petroleum_liquids_1,1958.0,0,25800,.,.
p10_petroleum_liquids_1,1963.0,0,25800,.,.
p10_petroleum_liquids_1,1966.0,0,25800,.,.
