LOAD_ZONE,PERIOD,dr_annual_cost
p68,2028,881069.9999999999
p68,2030,924929.9999999999
p68,2035,967500.0
p69,2028,1506720.0
p69,2030,1535099.9999999998
p69,2035,1603470.0
p7,2028,279017.76995401754
p7,2030,267030.0
p7,2035,287670.0
p70,2028,10247760.0
p70,2030,10768920.0
p70,2035,11248799.999999998
p71,2028,477300.0
p71,2030,477300.0
p71,2035,500519.99999999994
p72,2028,10361280.0
p72,2030,10361280.0
p72,2035,10881150.0
p73,2028,677250.0
p73,2030,677250.0
p73,2035,710790.0
p74,2028,718530.0
p74,2030,817860.0
p74,2035,856559.9999999999
p75,2028,2737380.0
p75,2030,2737380.0
p75,2035,2863799.9999999995
p76,2028,3119219.9999999995
p76,2030,3174690.0
p76,2035,3321750.0
p77,2028,856559.9999999999
p77,2030,893970.0
p77,2035,935250.0
p78,2028,2214930.0
p78,2030,2327160.0
p78,2035,2434230.0
p79,2028,7376220.0
p79,2030,7376220.0
p79,2035,7716779.999999999
p8,2028,325080.0
p8,2030,325080.0
p8,2035,352170.0
p80,2028,27798210.0
p80,2030,28476750.0
p80,2035,29973149.999999996
p81,2028,6741540.0
p81,2030,6741540.0
p81,2035,7066620.0
p82,2028,2426490.0
p82,2030,2426490.0
p82,2035,2542590.0
p83,2028,3993840.0
p83,2030,3993840.0
p83,2035,4186049.9999999995
p84,2028,1195830.0
p84,2030,1235820.0
p84,2035,1297740.0
p85,2028,8449500.0
p85,2030,8449500.0
p85,2035,8784900.0
p86,2028,5438640.0
p86,2030,5438640.0
p86,2035,5647620.0
p87,2028,9020970.0
p87,2030,9088050.0
p87,2035,9428610.0
p88,2028,3354000.0
p88,2030,3617159.9999999995
p88,2035,3691980.0
p89,2028,11735129.999999998
p89,2030,12221459.999999998
p89,2035,12609750.0
p9,2028,26937779.999999996
p9,2030,26937779.999999996
p9,2035,29014680.0
p90,2028,10765050.0
p90,2030,11211390.0
p90,2035,11699010.0
p91,2028,3525570.0
p91,2030,3525570.0
p91,2035,3679080.0
p92,2028,28603169.999999996
p92,2030,30656849.999999996
p92,2035,31370220.0
p93,2028,3393989.9999999995
p93,2030,3495900.0
p93,2035,3574590.0
p94,2028,37499010.0
p94,2030,39168270.0
p94,2035,40773030.0
p95,2028,7807080.0
p95,2030,8120550.0
p95,2035,8534640.0
p96,2028,14384789.999999998
p96,2030,14504760.0
p96,2035,15242639.999999998
p97,2028,18505050.0
p97,2030,18505050.0
p97,2035,19469970.0
p98,2028,18083220.0
p98,2030,18409590.0
p98,2035,19370640.0
p99,2028,39579780.0
p99,2030,46852799.99999999
p99,2035,48844559.99999999
