GENERATION_PROJECT,PERIOD,gen_fixed_om_by_period,gen_variable_om_by_period,gen_storage_energy_fixed_om_by_period
p5_offshorewind_class3_moderate_fixed_1_2,2028,2759.66666666667,.,.
p5_offshorewind_class3_moderate_fixed_0_1,2028,2759.66666666667,.,.
p5_offshorewind_class3_moderate_fixed_0_2,2028,2759.66666666667,.,.
p6_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p6_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p6_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p6_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p6_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p6_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p6_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p7_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p7_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p7_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p7_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p7_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p7_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p7_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p8_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p8_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p8_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p8_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p8_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p8_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p8_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p9_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p9_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p9_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p9_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p9_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p9_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p9_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p9_offshorewind_class3_moderate_fixed_1_1,2028,2759.66666666667,.,.
p9_offshorewind_class3_moderate_fixed_1_2,2028,2759.66666666667,.,.
p9_offshorewind_class3_moderate_fixed_0_1,2028,2759.66666666667,.,.
p9_offshorewind_class3_moderate_fixed_0_2,2028,2759.66666666667,.,.
p10_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
