GENERATION_PROJECT,PERIOD,gen_ptc_value_per_mwh
p63_landbasedwind_class3_moderate_1,2030,27.5
p63_landbasedwind_class3_moderate_2,2030,27.5
p63_utilitypv_class1_moderate_1,2030,27.5
p63_utilitypv_class1_moderate_2,2030,27.5
p64_landbasedwind_class3_moderate_1,2030,27.5
p64_landbasedwind_class3_moderate_2,2030,27.5
p64_utilitypv_class1_moderate_1,2030,27.5
p64_utilitypv_class1_moderate_2,2030,27.5
p64_offshorewind_class3_moderate_fixed_1_1,2030,27.5
p64_offshorewind_class3_moderate_fixed_1_2,2030,27.5
p64_offshorewind_class3_moderate_fixed_0_1,2030,27.5
p64_offshorewind_class3_moderate_fixed_0_2,2030,27.5
p64_offshorewind_class12_moderate_floating_0_1,2030,27.5
p64_offshorewind_class12_moderate_floating_0_2,2030,27.5
p65_landbasedwind_class3_moderate_1,2030,27.5
p65_landbasedwind_class3_moderate_2,2030,27.5
p65_utilitypv_class1_moderate_1,2030,27.5
p65_utilitypv_class1_moderate_2,2030,27.5
p65_offshorewind_class3_moderate_fixed_1_1,2030,27.5
p65_offshorewind_class3_moderate_fixed_1_2,2030,27.5
p65_offshorewind_class3_moderate_fixed_0_1,2030,27.5
p65_offshorewind_class3_moderate_fixed_0_2,2030,27.5
p65_offshorewind_class12_moderate_floating_0_1,2030,27.5
p65_offshorewind_class12_moderate_floating_0_2,2030,27.5
p66_landbasedwind_class3_moderate_1,2030,27.5
p66_landbasedwind_class3_moderate_2,2030,27.5
p66_utilitypv_class1_moderate_1,2030,27.5
p66_utilitypv_class1_moderate_2,2030,27.5
p66_offshorewind_class3_moderate_fixed_1_1,2030,27.5
p66_offshorewind_class3_moderate_fixed_1_2,2030,27.5
p66_offshorewind_class3_moderate_fixed_0_1,2030,27.5
p66_offshorewind_class3_moderate_fixed_0_2,2030,27.5
p66_offshorewind_class12_moderate_floating_0_1,2030,27.5
p66_offshorewind_class12_moderate_floating_0_2,2030,27.5
p67_landbasedwind_class3_moderate_1,2030,27.5
p67_landbasedwind_class3_moderate_2,2030,27.5
p67_utilitypv_class1_moderate_1,2030,27.5
p67_utilitypv_class1_moderate_2,2030,27.5
p67_offshorewind_class3_moderate_fixed_1_1,2030,27.5
p67_offshorewind_class3_moderate_fixed_1_2,2030,27.5
p67_offshorewind_class3_moderate_fixed_0_1,2030,27.5
p67_offshorewind_class3_moderate_fixed_0_2,2030,27.5
p67_offshorewind_class12_moderate_floating_0_1,2030,27.5
p67_offshorewind_class12_moderate_floating_0_2,2030,27.5
p68_landbasedwind_class3_moderate_1,2030,27.5
p68_landbasedwind_class3_moderate_2,2030,27.5
p68_utilitypv_class1_moderate_1,2030,27.5
p68_utilitypv_class1_moderate_2,2030,27.5
p69_landbasedwind_class3_moderate_1,2030,27.5
p69_landbasedwind_class3_moderate_2,2030,27.5
p69_utilitypv_class1_moderate_1,2030,27.5
p69_utilitypv_class1_moderate_2,2030,27.5
p70_landbasedwind_class3_moderate_1,2030,27.5
p70_landbasedwind_class3_moderate_2,2030,27.5
p70_utilitypv_class1_moderate_1,2030,27.5
p70_utilitypv_class1_moderate_2,2030,27.5
p71_landbasedwind_class3_moderate_1,2030,27.5
p71_landbasedwind_class3_moderate_2,2030,27.5
p71_utilitypv_class1_moderate_1,2030,27.5
p71_utilitypv_class1_moderate_2,2030,27.5
p72_landbasedwind_class3_moderate_1,2030,27.5
p72_landbasedwind_class3_moderate_2,2030,27.5
p72_utilitypv_class1_moderate_1,2030,27.5
p72_utilitypv_class1_moderate_2,2030,27.5
p73_landbasedwind_class3_moderate_1,2030,27.5
p73_landbasedwind_class3_moderate_2,2030,27.5
p73_utilitypv_class1_moderate_1,2030,27.5
p73_utilitypv_class1_moderate_2,2030,27.5
p74_landbasedwind_class3_moderate_1,2030,27.5
p74_landbasedwind_class3_moderate_2,2030,27.5
p74_utilitypv_class1_moderate_1,2030,27.5
p74_utilitypv_class1_moderate_2,2030,27.5
p74_offshorewind_class3_moderate_fixed_1_1,2030,27.5
p74_offshorewind_class3_moderate_fixed_1_2,2030,27.5
p74_offshorewind_class3_moderate_fixed_0_1,2030,27.5
p74_offshorewind_class3_moderate_fixed_0_2,2030,27.5
p74_offshorewind_class12_moderate_floating_0_1,2030,27.5
p74_offshorewind_class12_moderate_floating_0_2,2030,27.5
p75_landbasedwind_class3_moderate_1,2030,27.5
p75_landbasedwind_class3_moderate_2,2030,27.5
p75_utilitypv_class1_moderate_1,2030,27.5
p75_utilitypv_class1_moderate_2,2030,27.5
p75_offshorewind_class3_moderate_fixed_1_1,2030,27.5
p75_offshorewind_class3_moderate_fixed_1_2,2030,27.5
p75_offshorewind_class3_moderate_fixed_0_1,2030,27.5
p75_offshorewind_class3_moderate_fixed_0_2,2030,27.5
p75_offshorewind_class12_moderate_floating_0_1,2030,27.5
p75_offshorewind_class12_moderate_floating_0_2,2030,27.5
p76_landbasedwind_class3_moderate_1,2030,27.5
p76_landbasedwind_class3_moderate_2,2030,27.5
p76_utilitypv_class1_moderate_1,2030,27.5
p76_utilitypv_class1_moderate_2,2030,27.5
p76_offshorewind_class3_moderate_fixed_1_1,2030,27.5
p76_offshorewind_class3_moderate_fixed_1_2,2030,27.5
p76_offshorewind_class3_moderate_fixed_0_1,2030,27.5
p76_offshorewind_class3_moderate_fixed_0_2,2030,27.5
p76_offshorewind_class12_moderate_floating_0_1,2030,27.5
p76_offshorewind_class12_moderate_floating_0_2,2030,27.5
p77_landbasedwind_class3_moderate_1,2030,27.5
p77_landbasedwind_class3_moderate_2,2030,27.5
p77_utilitypv_class1_moderate_1,2030,27.5
p77_utilitypv_class1_moderate_2,2030,27.5
p78_landbasedwind_class3_moderate_1,2030,27.5
p78_landbasedwind_class3_moderate_2,2030,27.5
p78_utilitypv_class1_moderate_1,2030,27.5
p78_utilitypv_class1_moderate_2,2030,27.5
p79_landbasedwind_class3_moderate_1,2030,27.5
p79_landbasedwind_class3_moderate_2,2030,27.5
p79_utilitypv_class1_moderate_1,2030,27.5
p79_utilitypv_class1_moderate_2,2030,27.5
p79_offshorewind_class3_moderate_fixed_1_1,2030,27.5
p79_offshorewind_class3_moderate_fixed_1_2,2030,27.5
p79_offshorewind_class3_moderate_fixed_0_1,2030,27.5
p79_offshorewind_class3_moderate_fixed_0_2,2030,27.5
p79_offshorewind_class12_moderate_floating_0_1,2030,27.5
p79_offshorewind_class12_moderate_floating_0_2,2030,27.5
p80_landbasedwind_class3_moderate_1,2030,27.5
p80_landbasedwind_class3_moderate_2,2030,27.5
p80_utilitypv_class1_moderate_1,2030,27.5
p80_utilitypv_class1_moderate_2,2030,27.5
p80_offshorewind_class3_moderate_fixed_1_1,2030,27.5
p80_offshorewind_class3_moderate_fixed_1_2,2030,27.5
p80_offshorewind_class3_moderate_fixed_0_1,2030,27.5
p80_offshorewind_class3_moderate_fixed_0_2,2030,27.5
p80_offshorewind_class12_moderate_floating_0_1,2030,27.5
p80_offshorewind_class12_moderate_floating_0_2,2030,27.5
p81_landbasedwind_class3_moderate_1,2030,27.5
p81_landbasedwind_class3_moderate_2,2030,27.5
p81_utilitypv_class1_moderate_1,2030,27.5
p81_utilitypv_class1_moderate_2,2030,27.5
p82_landbasedwind_class3_moderate_1,2030,27.5
p82_landbasedwind_class3_moderate_2,2030,27.5
p82_utilitypv_class1_moderate_1,2030,27.5
p82_utilitypv_class1_moderate_2,2030,27.5
p83_landbasedwind_class3_moderate_1,2030,27.5
p83_landbasedwind_class3_moderate_2,2030,27.5
p83_utilitypv_class1_moderate_1,2030,27.5
p83_utilitypv_class1_moderate_2,2030,27.5
p84_landbasedwind_class3_moderate_1,2030,27.5
p84_landbasedwind_class3_moderate_2,2030,27.5
p84_utilitypv_class1_moderate_1,2030,27.5
p84_utilitypv_class1_moderate_2,2030,27.5
p85_landbasedwind_class3_moderate_1,2030,27.5
p85_landbasedwind_class3_moderate_2,2030,27.5
p85_utilitypv_class1_moderate_1,2030,27.5
p85_utilitypv_class1_moderate_2,2030,27.5
p86_landbasedwind_class3_moderate_1,2030,27.5
p86_landbasedwind_class3_moderate_2,2030,27.5
p86_utilitypv_class1_moderate_1,2030,27.5
p86_utilitypv_class1_moderate_2,2030,27.5
p87_landbasedwind_class3_moderate_1,2030,27.5
p87_landbasedwind_class3_moderate_2,2030,27.5
p87_utilitypv_class1_moderate_1,2030,27.5
p87_utilitypv_class1_moderate_2,2030,27.5
p88_landbasedwind_class3_moderate_1,2030,27.5
p88_landbasedwind_class3_moderate_2,2030,27.5
p88_utilitypv_class1_moderate_1,2030,27.5
p88_utilitypv_class1_moderate_2,2030,27.5
p89_landbasedwind_class3_moderate_1,2030,27.5
p89_landbasedwind_class3_moderate_2,2030,27.5
p89_utilitypv_class1_moderate_1,2030,27.5
p89_utilitypv_class1_moderate_2,2030,27.5
p90_landbasedwind_class3_moderate_1,2030,27.5
p90_landbasedwind_class3_moderate_2,2030,27.5
p90_utilitypv_class1_moderate_1,2030,27.5
p90_utilitypv_class1_moderate_2,2030,27.5
p90_offshorewind_class3_moderate_fixed_1_1,2030,27.5
p90_offshorewind_class3_moderate_fixed_1_2,2030,27.5
p90_offshorewind_class3_moderate_fixed_0_1,2030,27.5
p90_offshorewind_class3_moderate_fixed_0_2,2030,27.5
p90_offshorewind_class12_moderate_floating_0_1,2030,27.5
p90_offshorewind_class12_moderate_floating_0_2,2030,27.5
p91_landbasedwind_class3_moderate_1,2030,27.5
p91_landbasedwind_class3_moderate_2,2030,27.5
p91_utilitypv_class1_moderate_1,2030,27.5
p91_utilitypv_class1_moderate_2,2030,27.5
p91_offshorewind_class3_moderate_fixed_1_1,2030,27.5
p91_offshorewind_class3_moderate_fixed_1_2,2030,27.5
p91_offshorewind_class3_moderate_fixed_0_1,2030,27.5
p91_offshorewind_class3_moderate_fixed_0_2,2030,27.5
p91_offshorewind_class12_moderate_floating_0_1,2030,27.5
p91_offshorewind_class12_moderate_floating_0_2,2030,27.5
p92_landbasedwind_class3_moderate_1,2030,27.5
p92_landbasedwind_class3_moderate_2,2030,27.5
p92_utilitypv_class1_moderate_1,2030,27.5
p92_utilitypv_class1_moderate_2,2030,27.5
p93_landbasedwind_class3_moderate_1,2030,27.5
p93_landbasedwind_class3_moderate_2,2030,27.5
p93_utilitypv_class1_moderate_1,2030,27.5
p93_utilitypv_class1_moderate_2,2030,27.5
p94_landbasedwind_class3_moderate_1,2030,27.5
p94_landbasedwind_class3_moderate_2,2030,27.5
p94_utilitypv_class1_moderate_1,2030,27.5
p94_utilitypv_class1_moderate_2,2030,27.5
p95_landbasedwind_class3_moderate_1,2030,27.5
