LOAD_ZONE,TIMEPOINT,ee_load_reduction
p84,20285081302,15.897524102031223
p85,20285081302,139.97751947434725
p86,20285081302,95.78168149455075
p87,20285081302,151.98177236771812
p88,20285081302,57.71414078764612
p89,20285081302,197.51141622455552
p90,20285081302,181.18130643267335
p91,20285081302,51.261404247366
p92,20285081302,443.6887225573688
p93,20285081302,47.296035423730125
p94,20285081302,627.6818359740749
p95,20285081302,115.24803753785436
p96,20285081302,209.69591315536425
p97,20285081302,257.4966318839205
p98,20285081302,253.56731186777213
p99,20285081302,557.4227101807462
p100,20285081302,18.529087048625964
p101,20285081302,603.2407444974824
p102,20285081302,335.32600724964715
p103,20285081302,347.474455372968
p104,20285081302,32.6241707762772
p105,20285081302,223.106069540751
p106,20285081302,71.73712690032224
p107,20285081302,112.61647459125976
p108,20285081302,27.685484150476125
p109,20285081302,178.7660363310041
p110,20285081302,17.916257321336776
p111,20285081302,208.07371681842224
p112,20285081302,215.17533189347924
p113,20285081302,52.198673242043625
p114,20285081302,82.01103703428788
p115,20285081302,97.76436590636888
p116,20285081302,65.60882962743037
p117,20285081302,48.017011573482
p118,20285081302,90.66275083131188
p119,20285081302,11.427471973568926
p120,20285081302,6.813224615156249
p121,20285081302,19.754746503204338
p122,20285081302,377.9356976999888
p123,20285081302,217.26616272775988
p124,20285081302,3.0280998289583287
p125,20285081302,38.31988235931787
p126,20285081302,253.24287260038383
p127,20285081302,424.9793914713075
p128,20285081302,179.66725651819425
p129,20285081302,18.168598973749948
p130,20285081302,34.49870876563237
p131,20285081302,172.78193428806262
p132,20285081302,88.860310456932
p133,20285081302,26.85636157826134
p134,20285081302,38.53617520424363
p1,20285081303,226.2783645996596
p2,20285081303,88.17538311466762
p3,20285081303,50.07179360027512
p4,20285081303,15.969621717006412
p5,20285081303,189.220190502408
p6,20285081303,40.44676200108637
p7,20285081303,5.659662775553063
p8,20285081303,5.587565160577875
p9,20285081303,465.3901046649037
p10,20285081303,525.69975959166
p11,20285081303,76.82000875607362
p12,20285081303,62.65282741344712
p13,20285081303,159.08338744277512
p14,20285081303,20.223381000543117
p15,20285081303,62.43653456852175
p16,20285081303,30.028656637170076
p17,20285081303,27.397093690575336
p18,20285081303,18.60118466360115
p19,20285081303,0.4325856898511887
p20,20285081303,9.552933984213787
p21,20285081303,37.27446694217748
p22,20285081303,6.200394887867062
p23,20285081303,7.714444802346225
p24,20285081303,37.3105157496651
p25,20285081303,128.80238915319188
p26,20285081303,5.94805323545385
p27,20285081303,45.56569266432525
p28,20285081303,344.8428924263734
p29,20285081303,4.7944913958507
p30,20285081303,67.55546523176062
p31,20285081303,99.71100151069912
p32,20285081303,8.435420952098212
p33,20285081303,196.5380984223904
p34,20285081303,62.94121787334825
p35,20285081303,2.8478557915203297
p36,20285081303,31.110120861798038
p37,20285081303,61.21087511394337
p38,20285081303,40.302566771136
p39,20285081303,8.255176914660186
p40,20285081303,49.27871983554787
p41,20285081303,92.93382570303076
p42,20285081303,13.950888497700864
p43,20285081303,205.0095681819761
p44,20285081303,5.83990681299105
p45,20285081303,45.70988789427562
p46,20285081303,35.32783133784716
p47,20285081303,33.0567564661284
p48,20285081303,114.27471973568925
p49,20285081303,3.064148636445926
p50,20285081303,203.60366468995983
p51,20285081303,105.76720116861598
p52,20285081303,6.524834155255425
p53,20285081303,155.3703602715521
p54,20285081303,75.48620287903275
p55,20285081303,40.66305484601176
p56,20285081303,74.94547076671874
p57,20285081303,46.9715961563415
p58,20285081303,365.2465174643542
p59,20285081303,52.48706370194437
p60,20285081303,18.24069658872517
p61,20285081303,41.02354292088787
p62,20285081303,34.78709922553316
p63,20285081303,730.6011813511725
p64,20285081303,241.31071732198876
p65,20285081303,368.2025196783375
p66,20285081303,114.38286615815213
p67,20285081303,526.42073574141
p68,20285081303,13.013619503023277
p69,20285081303,20.8362107278323
p70,20285081303,143.9428882979835
p71,20285081303,6.308541310329862
p72,20285081303,136.62498037800074
p73,20285081303,8.940104256924599
p74,20285081303,10.598349401354136
p75,20285081303,38.86061447163187
p76,20285081303,44.59237486216012
p77,20285081303,12.3286921607589
p78,20285081303,32.08343866396324
p79,20285081303,104.685736943988
p80,20285081303,333.88405495014297
p81,20285081303,80.10045023744512
p82,20285081303,28.83904599007931
p83,20285081303,47.440230653680494
p84,20285081303,15.969621717006412
p85,20285081303,138.28322552243023
p86,20285081303,93.7629482752455
p87,20285081303,147.47567143176786
p88,20285081303,56.127993258192
p89,20285081303,193.0413640960935
p90,20285081303,177.07174237908674
p91,20285081303,49.639207910424
p92,20285081303,426.9981246906112
p93,20285081303,47.440230653680494
p94,20285081303,616.434608037945
p95,20285081303,115.0677935004165
p96,20285081303,209.2993762730006
p97,20285081303,254.5406296699376
p98,20285081303,250.71945607625213
p99,20285081303,577.4297983363613
p100,20285081303,19.21401439089033
p101,20285081303,584.20697414403
p102,20285081303,324.6555602333179
p103,20285081303,347.9070410628191
p104,20285081303,32.696268391252424
p105,20285081303,222.3490445835116
p106,20285081303,71.52083405539649
p107,20285081303,112.21993770889613
p108,20285081303,27.75758176545135
p109,20285081303,179.27071963583063
p110,20285081303,18.02440374379957
p111,20285081303,214.7427462036281
p112,20285081303,222.67348385089988
p113,20285081303,54.001113616423496
p114,20285081303,84.78679521083325
p115,20285081303,102.34256445729412
p116,20285081303,68.31249018900037
p117,20285081303,50.1438912152505
p118,20285081303,94.23158277258412
p119,20285081303,11.968204085882926
p120,20285081303,7.137663882544612
p121,20285081303,20.728064305369497
p122,20285081303,395.3112229090125
p123,20285081303,228.1889513965024
p124,20285081303,3.100197443933528
p125,20285081303,39.54554181389625
p126,20285081303,260.8491709802674
p127,20285081303,424.2944641290412
p128,20285081303,179.487012480756
p129,20285081303,17.267378786559973
p130,20285081303,33.09280527361601
p131,20285081303,166.8699298600965
p132,20285081303,86.26479631782486
p133,20285081303,25.77489735363337
p134,20285081303,39.14900493153262
p1,20285081304,215.35557593091715
p2,20285081304,84.28211190600675
p3,20285081304,47.11579138629188
p4,20285081304,15.248645567254425
p5,20285081304,182.04647781237563
p6,20285081304,38.752468049169
p7,20285081304,5.335223508164662
p8,20285081304,5.371272315652274
p9,20285081304,445.3830165092887
p10,20285081304,503.02505968195874
p11,20285081304,72.38600543509912
p12,20285081304,58.975849049712
p13,20285081304,150.17933199333788
p14,20285081304,19.64660008074154
p15,20285081304,60.67014300162937
p16,20285081304,29.235582872442897
p17,20285081304,27.03660561569936
p18,20285081304,18.38489181867555
p19,20285081304,0.4325856898511887
p20,20285081304,9.408738754263377
p21,20285081304,36.40929556247512
p22,20285081304,6.200394887867062
p23,20285081304,7.570249572395812
p24,20285081304,36.44534436996273
