RPS_PROGRAM,LOAD_ZONE,PERIOD,rps_share,unbundled_rec_limit_fraction
ESR_MN_rps,p43,2030,0.4038208812038634,0.24
ESR_MN_rps,p44,2030,0.4038208812038634,0.24
ESR_MN_rps,p68,2030,0.4038208812038634,0.24
ESR_MN_rps_solar,p42,2030,0.0077384675374467,0.24
ESR_MN_rps_solar,p43,2030,0.0077384675374467,0.24
ESR_MN_rps_solar,p44,2030,0.0077384675374467,0.24
ESR_MN_rps_solar,p68,2030,0.0077384675374467,0.24
ESR_MO_rps,p54,2030,0.09830415217822,0.94
ESR_MO_rps,p55,2030,0.09830415217822,0.94
ESR_MO_rps,p71,2030,0.09830415217822,0.94
ESR_MO_rps,p72,2030,0.09830415217822,0.94
ESR_MO_rps,p73,2030,0.09830415217822,0.94
ESR_MO_rps,p84,2030,0.09830415217822,0.94
ESR_MO_rps_solar,p54,2030,0.0014662134584295,0.94
ESR_MO_rps_solar,p55,2030,0.0014662134584295,0.94
ESR_MO_rps_solar,p71,2030,0.0014662134584295,0.94
ESR_MO_rps_solar,p72,2030,0.0014662134584295,0.94
ESR_MO_rps_solar,p73,2030,0.0014662134584295,0.94
ESR_MO_rps_solar,p84,2030,0.0014662134584295,0.94
ESR_NC_ces,p97,2030,0.4965251954415324,0.25
ESR_NC_ces,p98,2030,0.4965251954415324,0.25
ESR_NC_rps,p97,2030,0.0468229545212613,0.25
ESR_NC_rps,p98,2030,0.0468229545212613,0.25
ESR_NC_rps_solar,p97,2030,0.0020582041136917,0.25
ESR_NC_rps_solar,p98,2030,0.0020582041136917,0.25
ESR_NE_ces,p39,2030,0.0404203457430351,.
ESR_NE_ces,p40,2030,0.0404203457430351,.
ESR_NE_ces,p41,2030,0.0404203457430351,.
ESR_NH_rps,p130,2030,0.208,0.35
ESR_NH_rps_solar,p130,2030,0.007,0.35
ESR_NJ_rps,p126,2030,0.5135106249820466,0.76
ESR_NJ_rps_solar,p126,2030,0.0227287072752754,0.76
ESR_NM_ces,p31,2030,0.4511240206738761,.
ESR_NM_ces,p47,2030,0.4511240206738761,.
ESR_NM_rps,p31,2030,0.4511240206738761,.
ESR_NM_rps,p47,2030,0.4511240206738761,.
ESR_NV_ces,p12,2030,0.4522934702856492,0
ESR_NV_ces,p13,2030,0.4522934702856492,0
ESR_NV_rps,p12,2030,0.4522934702856492,0
ESR_NV_rps,p13,2030,0.4522934702856492,0
ESR_NY_ces,p127,2030,0.7,0
ESR_NY_ces,p128,2030,0.7,0
ESR_NY_rps,p127,2030,0.7,0
ESR_NY_rps,p128,2030,0.7,0
ESR_OR_ces,p5,2030,0.5171301243645834,1
ESR_OR_ces,p6,2030,0.5171301243645834,1
ESR_OR_ces,p7,2030,0.5171301243645834,1
ESR_OR_rps,p5,2030,0.2261376984695882,1
ESR_OR_rps,p6,2030,0.2261376984695882,1
ESR_OR_rps,p7,2030,0.2261376984695882,1
ESR_OR_rps_solar,p5,2030,0.0001897438931857,1
ESR_OR_rps_solar,p6,2030,0.0001897438931857,1
ESR_OR_rps_solar,p7,2030,0.0001897438931857,1
ESR_PA_rps,p115,2030,0.0805973176242457,0.47
ESR_PA_rps,p119,2030,0.0805973176242457,0.47
ESR_PA_rps,p120,2030,0.0805973176242457,0.47
ESR_PA_rps,p122,2030,0.0805973176242457,0.47
ESR_PA_rps_solar,p115,2030,0.0050373323515153,0.47
ESR_PA_rps_solar,p119,2030,0.0050373323515153,0.47
ESR_PA_rps_solar,p120,2030,0.0050373323515153,0.47
ESR_PA_rps_solar,p122,2030,0.0050373323515153,0.47
ESR_RI_rps,p133,2030,0.7132363503298739,0.77
ESR_TX_rps,p48,2030,0.0271304498126206,.
ESR_TX_rps,p57,2030,0.0271304498126206,.
ESR_TX_rps,p59,2030,0.0271304498126206,.
ESR_TX_rps,p60,2030,0.0271304498126206,.
ESR_TX_rps,p61,2030,0.0271304498126206,.
ESR_TX_rps,p62,2030,0.0271304498126206,.
ESR_TX_rps,p63,2030,0.0271304498126206,.
ESR_TX_rps,p64,2030,0.0271304498126206,.
ESR_TX_rps,p65,2030,0.0271304498126206,.
ESR_TX_rps,p66,2030,0.0271304498126206,.
ESR_TX_rps,p67,2030,0.0271304498126206,.
ESR_VA_ces,p99,2030,0.4076073067248413,0.25
ESR_VA_ces,p100,2030,0.4076073067248413,0.25
ESR_VA_ces,p118,2030,0.4076073067248413,0.25
ESR_VA_ces,p124,2030,0.4076073067248413,0.25
ESR_VA_rps,p99,2030,0.2102415577184641,0.25
ESR_VA_rps,p100,2030,0.2102415577184641,0.25
ESR_VA_rps,p118,2030,0.2102415577184641,0.25
ESR_VA_rps,p124,2030,0.2102415577184641,0.25
ESR_VT_rps,p129,2030,0.9898363366792604,0.8
ESR_WA_ces,p1,2030,0.9964329041665444,0.43
ESR_WA_ces,p2,2030,0.9964329041665444,0.43
ESR_WA_ces,p3,2030,0.9964329041665444,0.43
ESR_WA_ces,p4,2030,0.9964329041665444,0.43
ESR_WA_rps,p1,2030,0.1310032587237549,0.43
ESR_WA_rps,p2,2030,0.1310032587237549,0.43
ESR_WA_rps,p3,2030,0.1310032587237549,0.43
ESR_WA_rps,p4,2030,0.1310032587237549,0.43
ESR_WI_rps,p46,2030,0.0998136678822076,0.41
ESR_WI_rps,p75,2030,0.0998136678822076,0.41
ESR_WI_rps,p76,2030,0.0998136678822076,0.41
ESR_WI_rps,p77,2030,0.0998136678822076,0.41
ESR_WI_rps,p78,2030,0.0998136678822076,0.41
ESR_WI_rps,p79,2030,0.0998136678822076,0.41
ESR_AZ_rps,p27,2035,0.0883171188723898,1
ESR_AZ_rps,p28,2035,0.0883171188723898,1
ESR_AZ_rps,p29,2035,0.0883171188723898,1
ESR_AZ_rps,p30,2035,0.0883171188723898,1
ESR_CA_ces,p8,2035,0.8703570714276622,0.25
ESR_CA_ces,p9,2035,0.8703570714276622,0.25
ESR_CA_ces,p10,2035,0.8703570714276622,0.25
ESR_CA_ces,p11,2035,0.8703570714276622,0.25
ESR_CA_rps,p8,2035,0.5802496589809649,0.25
ESR_CA_rps,p9,2035,0.5802496589809649,0.25
ESR_CA_rps,p10,2035,0.5802496589809649,0.25
ESR_CA_rps,p11,2035,0.5802496589809649,0.25
ESR_CO_ces,p33,2035,0.682374558878112,0.083
ESR_CO_ces,p34,2035,0.682374558878112,0.083
ESR_CO_rps,p33,2035,0.2031886160151332,0.083
ESR_CO_rps,p34,2035,0.2031886160151332,0.083
ESR_CT_ces,p132,2035,0.7615384615384613,0.59
ESR_CT_rps,p132,2035,0.4400000000000001,0.59
ESR_DE_rps,p125,2035,0.2938928117264107,0.94
ESR_DE_rps_solar,p125,2035,0.0726775447409304,0.94
ESR_IA_rps,p45,2035,0.0047171231032412,.
ESR_IA_rps,p69,2035,0.0047171231032412,.
ESR_IA_rps,p70,2035,0.0047171231032412,.
ESR_IL_ces,p80,2035,0.3932065155843897,0.08
ESR_IL_ces,p81,2035,0.3932065155843897,0.08
ESR_IL_ces,p82,2035,0.3932065155843897,0.08
ESR_IL_ces,p83,2035,0.3932065155843897,0.08
ESR_IL_rps,p80,2035,0.3932065155843897,0.08
ESR_IL_rps,p81,2035,0.3932065155843897,0.08
ESR_IL_rps,p82,2035,0.3932065155843897,0.08
ESR_IL_rps,p83,2035,0.3932065155843897,0.08
ESR_IL_rps_solar,p80,2035,0.1601320823206068,0.08
ESR_IL_rps_solar,p81,2035,0.1601320823206068,0.08
ESR_IL_rps_solar,p82,2035,0.1601320823206068,0.08
ESR_IL_rps_solar,p83,2035,0.1601320823206068,0.08
ESR_IL_rps_wind,p80,2035,0.1310171582623147,0.08
ESR_IL_rps_wind,p81,2035,0.1310171582623147,0.08
ESR_IL_rps_wind,p82,2035,0.1310171582623147,0.08
ESR_IL_rps_wind,p83,2035,0.1310171582623147,0.08
ESR_MA_ces,p131,2035,0.7280233414212938,0.62
ESR_MA_rps,p131,2035,0.4308528535741712,0.62
ESR_MA_rps_solar,p131,2035,0.1019503954388678,0.62
ESR_MD_rps,p121,2035,0.5643514107613257,0.71
ESR_MD_rps,p123,2035,0.5643514107613257,0.71
ESR_MD_rps_solar,p121,2035,0.1131664555790807,0.71
ESR_MD_rps_solar,p123,2035,0.1131664555790807,0.71
ESR_MD_rps_wind,p121,2035,0.1078020420967551,0.71
ESR_MD_rps_wind,p123,2035,0.1078020420967551,0.71
ESR_ME_ces,p134,2035,0.8054131465798167,1
ESR_ME_rps,p134,2035,0.788565197884259,1
ESR_MI_ces,p74,2035,0.8000000000000002,.
ESR_MI_ces,p103,2035,0.8000000000000002,.
ESR_MI_ces,p104,2035,0.8000000000000002,.
ESR_MI_rps,p74,2035,0.4422413176689619,.
ESR_MI_rps,p103,2035,0.4422413176689619,.
ESR_MI_rps,p104,2035,0.4422413176689619,.
ESR_MN_ces,p42,2035,0.89923000350551,0.24
ESR_MN_ces,p43,2035,0.89923000350551,0.24
ESR_MN_ces,p44,2035,0.89923000350551,0.24
ESR_MN_ces,p68,2035,0.89923000350551,0.24
ESR_MN_rps,p42,2035,0.5495294465867007,0.24
ESR_MN_rps,p43,2035,0.5495294465867007,0.24
ESR_MN_rps,p44,2035,0.5495294465867007,0.24
ESR_MN_rps,p68,2035,0.5495294465867007,0.24
ESR_MN_rps_solar,p42,2035,0.007812569001773,0.24
ESR_MN_rps_solar,p43,2035,0.007812569001773,0.24
ESR_MN_rps_solar,p44,2035,0.007812569001773,0.24
ESR_MN_rps_solar,p68,2035,0.007812569001773,0.24
ESR_MO_rps,p54,2035,0.0983083328451359,0.94
ESR_MO_rps,p55,2035,0.0983083328451359,0.94
ESR_MO_rps,p71,2035,0.0983083328451359,0.94
ESR_MO_rps,p72,2035,0.0983083328451359,0.94
ESR_MO_rps,p73,2035,0.0983083328451359,0.94
ESR_MO_rps,p84,2035,0.0983083328451359,0.94
ESR_MO_rps_solar,p54,2035,0.0014662134584295,0.94
ESR_MO_rps_solar,p55,2035,0.0014662134584295,0.94
ESR_MO_rps_solar,p71,2035,0.0014662134584295,0.94
ESR_MO_rps_solar,p72,2035,0.0014662134584295,0.94
ESR_MO_rps_solar,p73,2035,0.0014662134584295,0.94
ESR_MO_rps_solar,p84,2035,0.0014662134584295,0.94
ESR_NC_ces,p97,2035,0.5738003388943275,0.25
ESR_NC_ces,p98,2035,0.5738003388943275,0.25
ESR_NC_rps,p97,2035,0.0435648791231812,0.25
ESR_NC_rps,p98,2035,0.0435648791231812,0.25
ESR_NC_rps_solar,p97,2035,0.0020364241703221,0.25
ESR_NC_rps_solar,p98,2035,0.0020364241703221,0.25
ESR_NE_ces,p39,2035,0.0692920212737745,.
ESR_NE_ces,p40,2035,0.0692920212737745,.
ESR_NE_ces,p41,2035,0.0692920212737745,.
ESR_NH_rps,p130,2035,0.208,0.35
ESR_NH_rps_solar,p130,2035,0.007,0.35
ESR_NJ_rps,p126,2035,0.5104051237572949,0.76
ESR_NM_ces,p31,2035,0.563513221232174,.
ESR_NM_ces,p47,2035,0.563513221232174,.
ESR_NM_rps,p31,2035,0.563513221232174,.
ESR_NM_rps,p47,2035,0.563513221232174,.
ESR_NV_ces,p12,2035,0.5690968493713273,0
ESR_NV_ces,p13,2035,0.5690968493713273,0
ESR_NV_rps,p12,2035,0.4540024425723422,0
ESR_NV_rps,p13,2035,0.4540024425723422,0
ESR_NY_ces,p127,2035,0.8444444444444443,0
ESR_NY_ces,p128,2035,0.8444444444444443,0
ESR_NY_rps,p127,2035,0.7,0
ESR_NY_rps,p128,2035,0.7,0
ESR_OR_ces,p5,2035,0.5818184247066862,1
ESR_OR_ces,p6,2035,0.5818184247066862,1
ESR_OR_ces,p7,2035,0.5818184247066862,1
ESR_OR_rps,p5,2035,0.290825998811691,1
ESR_OR_rps,p6,2035,0.290825998811691,1
ESR_OR_rps,p7,2035,0.290825998811691,1
ESR_OR_rps_solar,p5,2035,0.0001698499928694,1
ESR_OR_rps_solar,p6,2035,0.0001698499928694,1
ESR_OR_rps_solar,p7,2035,0.0001698499928694,1
ESR_PA_rps,p115,2035,0.0797319003314348,0.47
ESR_PA_rps,p119,2035,0.0797319003314348,0.47
ESR_PA_rps,p120,2035,0.0797319003314348,0.47
ESR_PA_rps,p122,2035,0.0797319003314348,0.47
ESR_PA_rps_solar,p115,2035,0.0049832437707146,0.47
ESR_PA_rps_solar,p119,2035,0.0049832437707146,0.47
ESR_PA_rps_solar,p120,2035,0.0049832437707146,0.47
ESR_PA_rps_solar,p122,2035,0.0049832437707146,0.47
ESR_RI_rps,p133,2035,0.9906060421248246,0.77
ESR_TX_rps,p48,2035,0.0203478373594655,.
ESR_TX_rps,p57,2035,0.0203478373594655,.
ESR_TX_rps,p59,2035,0.0203478373594655,.
ESR_TX_rps,p60,2035,0.0203478373594655,.
ESR_TX_rps,p61,2035,0.0203478373594655,.
ESR_TX_rps,p62,2035,0.0203478373594655,.
ESR_TX_rps,p63,2035,0.0203478373594655,.
ESR_TX_rps,p64,2035,0.0203478373594655,.
ESR_TX_rps,p65,2035,0.0203478373594655,.
ESR_TX_rps,p66,2035,0.0203478373594655,.
ESR_TX_rps,p67,2035,0.0203478373594655,.
ESR_VA_ces,p99,2035,0.4946444307860293,0.25
ESR_VA_ces,p100,2035,0.4946444307860293,0.25
ESR_VA_ces,p118,2035,0.4946444307860293,0.25
ESR_VA_ces,p124,2035,0.4946444307860293,0.25
ESR_VA_rps,p99,2035,0.3177003498390991,0.25
ESR_VA_rps,p100,2035,0.3177003498390991,0.25
ESR_VA_rps,p118,2035,0.3177003498390991,0.25
ESR_VA_rps,p124,2035,0.3177003498390991,0.25
ESR_VT_rps,p129,2035,1.0,0.8
ESR_WA_ces,p1,2035,0.9966174766194134,0.43
ESR_WA_ces,p2,2035,0.9966174766194134,0.43
ESR_WA_ces,p3,2035,0.9966174766194134,0.43
ESR_WA_ces,p4,2035,0.9966174766194134,0.43
ESR_WA_rps,p1,2035,0.130326816810661,0.43
ESR_WA_rps,p2,2035,0.130326816810661,0.43
ESR_WA_rps,p3,2035,0.130326816810661,0.43
ESR_WA_rps,p4,2035,0.130326816810661,0.43
ESR_WI_rps,p46,2035,0.0993150801282703,0.41
ESR_WI_rps,p75,2035,0.0993150801282703,0.41
ESR_WI_rps,p76,2035,0.0993150801282703,0.41
ESR_WI_rps,p77,2035,0.0993150801282703,0.41
ESR_WI_rps,p78,2035,0.0993150801282703,0.41
ESR_WI_rps,p79,2035,0.0993150801282703,0.41
