load_zone,fuel,period,fuel_cost
p82,uranium,2028,0.680579563113122
p82,uranium,2030,0.680579563113122
p82,uranium,2035,0.680579563113122
p83,uranium,2028,0.680579563113122
p83,uranium,2030,0.680579563113122
p83,uranium,2035,0.680579563113122
p84,uranium,2028,0.942488186407454
p84,uranium,2030,0.942488186407454
p84,uranium,2035,0.942488186407454
p85,uranium,2028,0.57769142665462
p85,uranium,2030,0.57769142665462
p85,uranium,2035,0.57769142665462
p86,uranium,2028,0.631619064669573
p86,uranium,2030,0.631619064669573
p86,uranium,2035,0.631619064669573
p87,uranium,2028,0.60557262796233
p87,uranium,2030,0.60557262796233
p87,uranium,2035,0.60557262796233
p88,uranium,2028,0.60557262796233
p88,uranium,2030,0.60557262796233
p88,uranium,2035,0.60557262796233
p89,uranium,2028,0.699370334975791
p89,uranium,2030,0.699370334975791
p89,uranium,2035,0.699370334975791
p90,uranium,2028,0.699370334975791
p90,uranium,2030,0.699370334975791
p90,uranium,2035,0.699370334975791
p91,uranium,2028,0.566032152223284
p91,uranium,2030,0.566032152223284
p91,uranium,2035,0.566032152223284
p92,uranium,2028,0.677271350911614
p92,uranium,2030,0.677271350911614
p92,uranium,2035,0.677271350911614
p93,uranium,2028,1.37390438022092
p93,uranium,2030,1.37390438022092
p93,uranium,2035,1.37390438022092
p94,uranium,2028,0.725193606413334
p94,uranium,2030,0.725193606413334
p94,uranium,2035,0.725193606413334
p95,uranium,2028,0.729152368030912
p95,uranium,2030,0.729152368030912
p95,uranium,2035,0.729152368030912
p96,uranium,2028,0.729152368030912
p96,uranium,2030,0.729152368030912
p96,uranium,2035,0.729152368030912
p97,uranium,2028,0.677963138710105
p97,uranium,2030,0.677963138710105
p97,uranium,2035,0.677963138710105
p98,uranium,2028,0.677963138710105
p98,uranium,2030,0.677963138710105
p98,uranium,2035,0.677963138710105
p99,uranium,2028,0.623503296991194
p99,uranium,2030,0.623503296991194
p99,uranium,2035,0.623503296991194
p100,uranium,2028,0.623503296991194
p100,uranium,2030,0.623503296991194
