region,avg_base,peak_base,year,avg_growth,peak_growth,avg_targ,peak_targ
p37,2133.51149706458,3494,2026,1,1,2133.51149706458,3494
p37,2133.51149706458,3494,2027,1,1,2133.51149706458,3494
p37,2133.51149706458,3494,2028,1,1,2133.51149706458,3494
p37,2133.51149706458,3494,2029,1,1,2133.51149706458,3494
p37,2133.51149706458,3494,2030,1,1,2133.51149706458,3494
p37,2133.51149706458,3494,2031,1.00988802906506,1.00875525525752,2154.60772075819,3524.59086186977
p37,2133.51149706458,3494,2032,1.01987383124891,1.01758716500966,2175.91254452484,3555.44955454377
p37,2133.51149706458,3494,2033,1.02995837333499,1.0264964003861,2197.42803100813,3586.57842294903
p37,2133.51149706458,3494,2034,1.04014263166633,1.03548363839241,2219.15626324711,3617.97983254306
p37,2133.51149706458,3494,2035,1.05042759224005,1.04454956196152,2241.09934487801,3649.65616949354
p37,2133.51149706458,3494,2036,1.06081425080286,1.05369486000562,2263.25940033784,3681.60984085964
p37,2133.51149706458,3494,2037,1.07130361294742,1.06292022746851,2285.63857507015,3713.84327477496
p37,2133.51149706458,3494,2038,1.08189669420975,1.07222636537837,2308.23903573266,3746.35892063204
p37,2133.51149706458,3494,2039,1.09259452016748,1.0816139809011,2331.06297040709,3779.15924926846
p37,2133.51149706458,3494,2040,1.10339812653922,1.091083787394,2354.11258881095,3812.24675315462
p37,2133.51149706458,3494,2041,1.10932691026458,1.09627478162809,2366.7617170526,3830.38408700855
p37,2133.51149706458,3494,2042,1.11528755055703,1.1014904727933,2379.47881164642,3848.6077119398
p37,2133.51149706458,3494,2043,1.12128021858844,1.10673097838897,2392.26423778952,3866.91803849106
p37,2133.51149706458,3494,2044,1.12730508645039,1.11199641647346,2405.1183626413,3885.31547915827
p37,2133.51149706458,3494,2045,1.13336232715916,1.11728690566681,2418.04155533394,3903.80044839984
p37,2133.51149706458,3494,2046,1.13945211466067,1.12260256515342,2431.03418698309,3922.37336264605
p37,2133.51149706458,3494,2047,1.14557462383549,1.12794351468472,2444.09663069846,3941.03464030842
p37,2133.51149706458,3494,2048,1.15173003050387,1.13330987458188,2457.22926159454,3959.7847017891
p37,2133.51149706458,3494,2049,1.15791851143076,1.13870176573852,2470.43245680142,3978.62396949039
p37,2133.51149706458,3494,2050,1.16414024433091,1.14411930962341,2483.70659547555,3997.55286782421
p38,1349.20777886497,2194,2023,1,1,1349.20777886497,2194
p38,1349.20777886497,2194,2024,1.00427675567226,1.00378681002435,1354.97801088629,2202.30826119343
p38,1349.20777886497,2194,2025,1.0085718019836,1.00758795997887,1360.77292078013,2210.64798419364
p38,1349.20777886497,2194,2026,1.01288521715861,1.01140350416614,1366.59261408773,2219.0192881405
p38,1349.20777886497,2194,2027,1.01721707975644,1.01523349709438,1372.4371968017,2227.42229262507
p38,1349.20777886497,2194,2028,1.02156746867221,1.01907799347824,1378.30677536794,2235.85711769125
p38,1349.20777886497,2194,2029,1.02593646313845,1.02293704823954,1384.20145668761,2244.32388383755
p38,1349.20777886497,2194,2030,1.03032414272655,1.0268107165081,1390.12134811904,2252.82271201876
p38,1349.20777886497,2194,2031,1.04019711308046,1.03552282805207,1403.44203652104,2271.93708474625
p38,1349.20777886497,2194,2032,1.0501646901116,1.04430885866053,1416.89036898789,2291.21363590119
p38,1349.20777886497,2194,2033,1.06022778037828,1.05316943550954,1430.46756865511,2310.65374150794
p38,1349.20777886497,2194,2034,1.07038729912581,1.06210519109658,1444.17487037881,2330.2587892659
p38,1349.20777886497,2194,2035,1.08064417036976,1.0711167632856,1458.01352084796,2350.03017864861
p38,1349.20777886497,2194,2036,1.09099932697994,1.08020479535261,1471.98477869778,2369.96932100362
p38,1349.20777886497,2194,2037,1.10145371076533,1.08936993603156,1486.08991462426,2390.07763965325
p38,1349.20777886497,2194,2038,1.11200827255965,1.09861283956069,1500.33021149968,2410.35656999616
p38,1349.20777886497,2194,2039,1.12266397230792,1.10793416572921,1514.70696448929,2430.80755960989
p38,1349.20777886497,2194,2040,1.1334217791537,1.11733457992438,1529.22148116915,2451.4320683541
p38,1349.20777886497,2194,2041,1.14033499519817,1.12336893544455,1538.54884603332,2464.67144436535
p38,1349.20777886497,2194,2042,1.14729037785437,1.12943588052849,1547.93310241804,2477.98232187951
p38,1349.20777886497,2194,2043,1.15428818431417,1.13553559118168,1557.37459732861,2491.36508705262
p38,1349.20777886497,2194,2044,1.16132867333822,1.14166824436016,1566.87367988686,2504.82012812619
p38,1349.20777886497,2194,2045,1.1684121052654,1.14783401797564,1576.43070134408,2518.34783543855
p38,1349.20777886497,2194,2046,1.17553874202256,1.15403309090067,1586.04601509398,2531.94860143607
p38,1349.20777886497,2194,2047,1.1827088471341,1.16026564297384,1595.71997668575,2545.62282068461
p38,1349.20777886497,2194,2048,1.18992268573181,1.16653185500499,1605.45294383726,2559.37088988095
p38,1349.20777886497,2194,2049,1.19718052456461,1.17283190878045,1615.24527644822,2573.19320786431
p38,1349.20777886497,2194,2050,1.20448263200843,1.17916598706832,1625.09733661353,2587.09017562789
p39,244.306881930855,455,2023,1,1,244.306881930855,455
p39,244.306881930855,455,2024,1.00425431334746,1.00376693869501,245.34623995953,456.713957106228
p39,244.306881930855,455,2025,1.00852672587699,1.00754806721715,246.39001974294,458.434370583802
p39,244.306881930855,455,2026,1.01281731458816,1.01134343901863,247.438240092615,460.161264753475
p39,244.306881930855,455,2027,1.01712615680816,1.01515310775301,248.490919900114,461.894664027619
p39,244.306881930855,455,2028,1.02145333019312,1.01897712727596,249.548078137369,463.634592910562
p39,244.306881930855,455,2029,1.02579891272957,1.02281555164602,250.609733857023,465.381075998941
p39,244.306881930855,455,2030,1.03016298273581,1.02666843512537,251.675906192775,467.134137982045
p39,244.306881930855,455,2031,1.03961143422228,1.03500609136512,253.98422791451,470.927771571131
p39,244.306881930855,455,2032,1.04914654504033,1.04341145837613,256.313721107331,474.75221356114
p39,244.306881930855,455,2033,1.05876911001222,1.05188508604298,258.66457995179,478.607714149554
p39,244.306881930855,455,2034,1.06847993125019,1.06042752871589,261.037000409428,482.494525565728
p39,244.306881930855,455,2035,1.07827981822329,1.06903934524701,263.431180239101,486.41290208739
p39,244.306881930855,455,2036,1.08816958782486,1.07772109902699,265.847319013475,490.363100057281
p39,244.306881930855,455,2037,1.09815006444062,1.0864733580218,268.285618135656,494.345377899918
p39,244.306881930855,455,2038,1.1082220800174,1.09529669480991,270.746280855977,498.359996138507
p39,244.306881930855,455,2039,1.11838647413247,1.10419168661974,273.229512288945,502.407217411982
p39,244.306881930855,455,2040,1.12864409406354,1.11315891536745,275.735519430338,506.48730649219
p39,244.306881930855,455,2041,1.1340318141394,1.11786396552029,277.051776522786,508.628104311734
p39,244.306881930855,455,2042,1.13944525315337,1.122588902768,278.374316928814,510.777950759438
p39,244.306881930855,455,2043,1.14488453387795,1.12733381116843,279.703170642583,512.936884081637
p39,244.306881930855,455,2044,1.1503497796717,1.13209877513478,281.038367801437,515.104942686325
p39,244.306881930855,455,2045,1.15584111448202,1.136883879437,282.379938686585,517.282165143836
p39,244.306881930855,455,2046,1.16135866284801,1.14168920920337,283.727913723785,519.468590187533
p39,244.306881930855,455,2047,1.16690254990329,1.14651484992196,285.082323484037,521.664256714493
p39,244.306881930855,455,2048,1.17247290137879,1.1513608874422,286.443198684275,523.869203786203
p39,244.306881930855,455,2049,1.17806984360565,1.15622740797638,287.810570188065,526.083470629254
p39,244.306881930855,455,2050,1.18369350351805,1.16111449810118,289.184469006304,528.307096636036
p4,556.358333333333,955,2023,1,1,556.358333333333,955
p4,556.358333333333,955,2024,1,1,556.358333333333,955
p4,556.358333333333,955,2025,1,1,556.358333333333,955
p4,556.358333333333,955,2026,1,1,556.358333333333,955
p4,556.358333333333,955,2027,1,1,556.358333333333,955
p4,556.358333333333,955,2028,1,1,556.358333333333,955
p4,556.358333333333,955,2029,1,1,556.358333333333,955
p4,556.358333333333,955,2030,1,1,556.358333333333,955
p4,556.358333333333,955,2031,1.01698561778064,1.01503974335004,565.808423332406,969.362954899284
p4,556.358333333333,955,2032,1.03425974677267,1.03030568058011,575.419028948196,983.941924954
p4,556.358333333333,955,2033,1.05182728751725,1.04580121358811,585.192876637616,998.740158976648
p4,556.358333333333,955,2034,1.06969322379426,1.06152979543563,595.132739168135,1013.76095464103
p4,556.358333333333,955,2035,1.08786262403617,1.0774949311174,605.24143640439,1029.00765921712
p4,556.358333333333,955,2036,1.10634064276589,1.09370017834237,615.521836108159,1044.48367031696
p4,556.358333333333,955,2037,1.1251325220591,1.11014914832653,625.976854751929,1060.19243665183
p4,556.358333333333,955,2038,1.14424359303136,1.12684550659762,636.609458346272,1076.13745880073
p4,556.358333333333,955,2039,1.16367927735053,1.14379297381199,647.422663281281,1092.32228999045
p4,556.358333333333,955,2040,1.18344508877486,1.16099532658369,658.4195371823,1108.75053688743
p4,556.358333333333,955,2041,1.19302288011219,1.16931501016201,663.748221207753,1116.69583470472
p4,556.358333333333,955,2042,1.20267818589255,1.17769431252885,669.120031039534,1124.69806846505
p4,556.358333333333,955,2043,1.21241163345146,1.18613366091198,674.535315700998,1132.75764617094
p4,556.358333333333,955,2044,1.22222385520158,1.19463348560069,679.994427040194,1140.87497874866
p4,556.358333333333,955,2045,1.23211548867378,1.20319421996774,685.497719752729,1149.05048006919
p4,556.358333333333,955,2046,1.24208717655854,1.21181630049139,691.045551404814,1157.28456696928
p4,556.358333333333,955,2047,1.25213956674774,1.22050016677775,696.638282456493,1165.57765927275
p4,556.358333333333,955,2048,1.26227331237673,1.2292462615831,702.276276285065,1173.93017981186
p4,556.358333333333,955,2049,1.2724890718668,1.23805503083655,707.959899208695,1182.3425544489
p4,556.358333333333,955,2050,1.28278750896792,1.24692692366269,713.689520510213,1190.81521209787
p40,1399.41407371168,2609,2023,1,1,1399.41407371168,2609
p40,1399.41407371168,2609,2024,1.01231207016643,1.01090159791667,1416.64375797911,2637.4422689646
p40,1399.41407371168,2609,2025,1.02477572740465,1.02192204067048,1434.08557532819,2666.19460410928
p40,1399.41407371168,2609,2026,1.03739283806532,1.03306262386005,1451.7421375563,2695.26038565088
p40,1399.41407371168,2609,2027,1.05016529147773,1.04432465720812,1469.61608861746,2724.64303065598
p40,1399.41407371168,2609,2028,1.06309500023276,1.05570946471547,1487.71010501824,2754.34599344266
p40,1399.41407371168,2609,2029,1.07618390046921,1.06721838481662,1506.02689621854,2784.37276598656
p40,1399.41407371168,2609,2030,1.08943395216377,1.07885277053717,1524.56920503732,2814.72687833148
p40,1399.41407371168,2609,2031,1.09942602527962,1.08761421992656,1538.55225278119,2837.58549978841
p40,1399.41407371168,2609,2032,1.10950974371729,1.09644682174519,1552.66355027821,2860.62975793319
p40,1399.41407371168,2609,2033,1.11968594802958,1.10535115382759,1566.9042738098,2883.86116033617
p40,1399.41407371168,2609,2034,1.12995548647868,1.11432779870096,1581.27561044599,2907.28122681081
p40,1399.41407371168,2609,2035,1.14031921510685,1.12337734362325,1595.77875814438,2930.89148951306
p40,1399.41407371168,2609,2036,1.15077799780783,1.13250038062156,1610.41492585003,2954.69349304166
p40,1399.41407371168,2609,2037,1.16133270639881,1.14169750653092,1625.18533359616,2978.68879453916
p40,1399.41407371168,2609,2038,1.1719842206931,1.15096932303326,1640.09121260594,3002.87896379378
p40,1399.41407371168,2609,2039,1.18273342857351,1.16031643669686,1655.13380539503,3027.26558334211
p40,1399.41407371168,2609,2040,1.19358122606632,1.16973945901597,1670.31436587524,3051.85024857266
p40,1399.41407371168,2609,2041,1.19927893145251,1.17468366127177,1678.28781498054,3064.74967225806
p40,1399.41407371168,2609,2042,1.20500383552947,1.17964876145981,1686.29932631649,3077.70361864865
p40,1399.41407371168,2609,2043,1.21075606813345,1.18463484791053,1694.34908157776,3090.71231819857
p40,1399.41407371168,2609,2044,1.21653575972051,1.18964200932772,1702.43726332641,3103.77600233601
p40,1399.41407371168,2609,2045,1.22234304136945,1.1946703347901,1710.56405499595,3116.89490346736
p40,1399.41407371168,2609,2046,1.2281780447848,1.19971991375291,1718.72964089554,3130.06925498133
p40,1399.41407371168,2609,2047,1.23404090229977,1.20479083604948,1726.93420621416,3143.29929125311
p40,1399.41407371168,2609,2048,1.23993174687932,1.20988319189288,1735.17793702482,3156.58524764852
p40,1399.41407371168,2609,2049,1.24585071212309,1.21499707187745,1743.46102028877,3169.92736052826
p40,1399.41407371168,2609,2050,1.25179793226851,1.22013256698046,1751.78364385973,3183.32586725201
p41,2195.82840834964,4094,2023,1,1,2195.82840834964,4094
p41,2195.82840834964,4094,2024,1.04926612417348,1.04362219102003,2304.00836337906,4272.58925003599
p41,2195.82840834964,4094,2025,1.10095939933805,1.08914727758944,2417.51792550604,4458.96895445117
p41,2195.82840834964,4094,2026,1.1551994018158,1.13665826818139,2536.61966381565,4653.4789499346
p41,2195.82840834964,4094,2027,1.21211159899079,1.18624179228049,2661.58908315409,4856.47389759632
p41,2195.82840834964,4094,2028,1.27182763953879,1.23798825833929,2792.71526142355,5068.32392964104
p41,2195.82840834964,4094,2029,1.33448565795558,1.29199201862511,2930.30151827403,5289.41532425121
p41,2195.82840834964,4094,2030,1.40023059408816,1.34835154125793,3074.66611673907,5520.15120990995
p41,2195.82840834964,4094,2031,1.41307323264131,1.35930161165721,3102.86634731225,5564.98079812461
p41,2195.82840834964,4094,2032,1.42603366133968,1.37034060845148,3131.32522483251,5610.17445100038
p41,2195.82840834964,4094,2033,1.43911296053121,1.3814692538191,3160.04512155858,5655.7351251354
p41,2195.82840834964,4094,2034,1.4523122204726,1.39268827580327,3189.02843150709,5701.66580113859
p41,2195.82840834964,4094,2035,1.46563254142017,1.4039984083597,3218.27757065209,5747.96948382463
p41,2195.82840834964,4094,2036,1.47907503372156,1.41540039140463,3247.7949771265,5794.64920241054
p41,2195.82840834964,4094,2037,1.49264081790831,1.42689497086318,3277.5831114253,5841.70801071386
p41,2195.82840834964,4094,2038,1.50633102478924,1.43848289871822,3307.64445661064,5889.1489873524
p41,2195.82840834964,4094,2039,1.52014679554475,1.45016493305953,3337.98151851883,5936.9752359457
p41,2195.82840834964,4094,2040,1.53408928182189,1.46194183813338,3368.59682596921,5985.18988531804
p41,2195.82840834964,4094,2041,1.54141244389336,1.46812110829328,3384.67723328468,6010.48781735267
p41,2195.82840834964,4094,2042,1.54877056397108,1.47432649671501,3400.8344023834,6035.89267755124
p41,2195.82840834964,4094,2043,1.55616380893138,1.48055811379407,3417.0686996971,6061.40491787291
