region,avg_base,peak_base,year,avg_growth,peak_growth,avg_targ,peak_targ
p37,2133.51149706458,3494,2048,1.20065443877187,1.20065443877187,2561.6100491214,4195.0866090689
p37,2133.51149706458,3494,2049,1.20065443877187,1.20065443877187,2561.6100491214,4195.0866090689
p37,2133.51149706458,3494,2050,1.20065443877187,1.20065443877187,2561.6100491214,4195.0866090689
p38,1349.20777886497,2194,2023,1,1,1349.20777886497,2194
p38,1349.20777886497,2194,2024,1.02948625785728,1.02948625785728,1388.99086733563,2258.69284973887
p38,1349.20777886497,2194,2025,1.05984195511698,1.05984195511698,1429.94701021129,2325.29324952666
p38,1349.20777886497,2194,2026,1.09109272829352,1.09109272829352,1472.11079647663,2393.85744587599
p38,1349.20777886497,2194,2027,1.12326496982619,1.12326496982619,1515.51783501602,2464.44334379866
p38,1349.20777886497,2194,2028,1.15638585036853,1.15638585036853,1560.20478468661,2537.11055570856
p38,1349.20777886497,2194,2029,1.19048334173501,1.19048334173501,1606.20938527803,2611.9204517666
p38,1349.20777886497,2194,2030,1.2255862405242,1.2255862405242,1653.57048938512,2688.93621171009
p38,1349.20777886497,2194,2031,1.23399052370615,1.23399052370615,1664.90961363,2707.3752090113
p38,1349.20777886497,2194,2032,1.24245243806368,1.24245243806368,1676.32649430526,2725.9406491117
p38,1349.20777886497,2194,2033,1.25097237879435,1.25097237879435,1687.82166461455,2744.6333990748
p38,1349.20777886497,2194,2034,1.25955074380577,1.25955074380577,1699.3956614179,2763.45433190986
p38,1349.20777886497,2194,2035,1.26818793373412,1.26818793373412,1711.04902525677,2782.40432661267
p38,1349.20777886497,2194,2036,1.27688435196291,1.27688435196291,1722.78230037931,2801.48426820661
p38,1349.20777886497,2194,2037,1.28564040464175,1.28564040464175,1734.59603476576,2820.69504778401
p38,1349.20777886497,2194,2038,1.29445650070542,1.29445650070542,1746.49078015409,2840.0375625477
p38,1349.20777886497,2194,2039,1.30333305189287,1.30333305189287,1758.46709206569,2859.51271585297
p38,1349.20777886497,2194,2040,1.31227047276652,1.31227047276652,1770.5255298314,2879.12141724973
p38,1349.20777886497,2194,2041,1.31227047276652,1.31227047276652,1770.5255298314,2879.12141724973
p38,1349.20777886497,2194,2042,1.31227047276652,1.31227047276652,1770.5255298314,2879.12141724973
p38,1349.20777886497,2194,2043,1.31227047276652,1.31227047276652,1770.5255298314,2879.12141724973
p38,1349.20777886497,2194,2044,1.31227047276652,1.31227047276652,1770.5255298314,2879.12141724973
p38,1349.20777886497,2194,2045,1.31227047276652,1.31227047276652,1770.5255298314,2879.12141724973
p38,1349.20777886497,2194,2046,1.31227047276652,1.31227047276652,1770.5255298314,2879.12141724973
p38,1349.20777886497,2194,2047,1.31227047276652,1.31227047276652,1770.5255298314,2879.12141724973
p38,1349.20777886497,2194,2048,1.31227047276652,1.31227047276652,1770.5255298314,2879.12141724973
p38,1349.20777886497,2194,2049,1.31227047276652,1.31227047276652,1770.5255298314,2879.12141724973
p38,1349.20777886497,2194,2050,1.31227047276652,1.31227047276652,1770.5255298314,2879.12141724973
p39,244.306881930855,455,2023,1,1,244.306881930855,455
p39,244.306881930855,455,2024,1.02948625785728,1.02948625785728,251.510577647775,468.416247325062
p39,244.306881930855,455,2025,1.05984195511698,1.05984195511698,258.926683394131,482.228089578227
p39,244.306881930855,455,2026,1.09109272829352,1.09109272829352,266.56146234682,496.447191373553
p39,244.306881930855,455,2027,1.12326496982619,1.12326496982619,274.421362360391,511.085561270916
p39,244.306881930855,455,2028,1.15638585036853,1.15638585036853,282.513021412496,526.155561917682
p39,244.306881930855,455,2029,1.19048334173501,1.19048334173501,290.843273209903,541.669920489428
p39,244.306881930855,455,2030,1.2255862405242,1.2255862405242,299.419152959825,557.64173943851
p39,244.306881930855,455,2031,1.23399052370615,1.23399052370615,301.472377178872,561.465688286299
p39,244.306881930855,455,2032,1.24245243806368,1.24245243806368,303.539681090725,565.315859318972
p39,244.306881930855,455,2033,1.25097237879435,1.25097237879435,305.621161244871,569.192432351429
p39,244.306881930855,455,2034,1.25955074380577,1.25955074380577,307.716914852876,573.095588431625
p39,244.306881930855,455,2035,1.26818793373412,1.26818793373412,309.827039792917,577.025509849026
p39,244.306881930855,455,2036,1.27688435196291,1.27688435196291,311.951634614357,580.982380143122
p39,244.306881930855,455,2037,1.28564040464175,1.28564040464175,314.090798542349,584.966384111998
p39,244.306881930855,455,2038,1.29445650070542,1.29445650070542,316.244631482467,588.977707820967
p39,244.306881930855,455,2039,1.30333305189287,1.30333305189287,318.413234025373,593.016538611258
p39,244.306881930855,455,2040,1.31227047276652,1.31227047276652,320.596707451516,597.083065108764
p39,244.306881930855,455,2041,1.31227047276652,1.31227047276652,320.596707451516,597.083065108764
p39,244.306881930855,455,2042,1.31227047276652,1.31227047276652,320.596707451516,597.083065108764
p39,244.306881930855,455,2043,1.31227047276652,1.31227047276652,320.596707451516,597.083065108764
p39,244.306881930855,455,2044,1.31227047276652,1.31227047276652,320.596707451516,597.083065108764
p39,244.306881930855,455,2045,1.31227047276652,1.31227047276652,320.596707451516,597.083065108764
p39,244.306881930855,455,2046,1.31227047276652,1.31227047276652,320.596707451516,597.083065108764
p39,244.306881930855,455,2047,1.31227047276652,1.31227047276652,320.596707451516,597.083065108764
p39,244.306881930855,455,2048,1.31227047276652,1.31227047276652,320.596707451516,597.083065108764
p39,244.306881930855,455,2049,1.31227047276652,1.31227047276652,320.596707451516,597.083065108764
p39,244.306881930855,455,2050,1.31227047276652,1.31227047276652,320.596707451516,597.083065108764
p4,556.358333333333,955,2023,1,1,556.358333333333,955
p4,556.358333333333,955,2024,1.02606562597152,1.02606562597152,570.860161556137,979.8926728028
p4,556.358333333333,955,2025,1.05281066880032,1.05281066880032,585.7399890093,1005.43418870431
p4,556.358333333333,955,2026,1.0802528379121,1.0802528379121,601.007668479378,1031.64146020605
p4,556.358333333333,955,2027,1.10841030433979,1.10841030433979,616.673309571976,1058.53184064449
p4,556.358333333333,955,2028,1.13730171275568,1.13730171275568,632.747285405897,1086.12313568168
p4,556.358333333333,955,2029,1.16694619381714,1.16694619381714,649.240239481781,1114.43361509537
p4,556.358333333333,955,2030,1.19736337683406,1.19736337683406,666.163092729772,1143.48202487653
p4,556.358333333333,955,2031,1.20989096301467,1.20989096301467,673.132919697905,1155.44586967901
p4,556.358333333333,955,2032,1.2225496208637,1.2225496208637,680.175669481029,1167.53488792484
p4,556.358333333333,955,2033,1.2353407217373,1.2353407217373,687.292105044564,1179.75038925913
p4,556.358333333333,955,2034,1.24826565133963,1.24826565133963,694.482997336562,1192.09369702934
p4,556.358333333333,955,2035,1.26132580987295,1.26132580987295,701.749125371231,1204.56614842867
p4,556.358333333333,955,2036,1.27452261218938,1.27452261218938,709.091276313328,1217.16909464085
