region,avg_base,peak_base,avg_growth,peak_growth,year,avg_targ,peak_targ
p68,386.631115459883,622,1.20785231128527,1.11989477441641,2028,466.993286423022,696.574549687006
p68,386.631115459883,622,1.25434384075096,1.14554633923458,2029,484.968358319778,712.52982300391
p68,386.631115459883,622,1.3026248789934,1.17178546173465,2030,503.635309991013,728.850557198952
p68,386.631115459883,622,1.35276430612255,1.19862560012207,2031,523.020772630476,745.545123275925
p68,386.631115459883,622,1.40483365351761,1.22608052086699,2032,543.152402495094,762.622083979266
p68,386.631115459883,622,1.45890720587717,1.25416430576518,2033,564.058920360752,780.090198185941
p68,386.631115459883,622,1.51506210719749,1.28289135916066,2034,585.770152496767,797.958425397928
p68,386.631115459883,622,1.57337847082988,1.31227641533375,2035,608.317073217519,816.235930337595
p68,386.631115459883,622,1.63393949377434,1.34233454605843,2036,631.731849071929,834.932087648346
p68,386.631115459883,622,1.69683157537257,1.37308116833269,2037,656.047884733847,854.056486702931
p68,386.631115459883,622,1.76214444056948,1.40453205228601,2038,681.299870658809,873.618936521896
p68,386.631115459883,622,1.82997126791923,1.43670332926798,2039,707.523832575147,893.629470804685
p68,386.631115459883,622,1.90040882251835,1.46961150012217,2040,734.757182880072,914.098353075988
p68,386.631115459883,622,1.97355759405562,1.50327344364946,2041,763.038774014048,935.036081949965
p68,386.631115459883,622,2.04952194017559,1.53770642526535,2042,792.408953889591,956.45339651505
p68,386.631115459883,622,2.12841023536034,1.57292810585545,2043,822.909623453599,978.361281842092
p68,386.631115459883,622,2.21033502554188,1.60895655083387,2044,854.584296465304,1000.77097461867
p68,386.631115459883,622,2.29541318866571,1.64581023940907,2045,887.47816157515,1023.69396891244
p68,386.631115459883,622,2.38376610143468,1.68350807406199,2046,921.638146793147,1047.14202206656
p68,386.631115459883,622,2.47551981247096,1.72206939024121,2047,957.112986438686,1071.12716073003
p68,386.631115459883,622,2.57080522214321,1.76151396628022,2048,993.953290667321,1095.6616870263
p68,386.631115459883,622,2.66975826931555,1.8018620335419,2049,1032.21161767372,1120.75818486306
p68,386.631115459883,622,2.77252012528457,1.84313428679524,2050,1071.94254867375,1146.42952638664
p69,658.218199608611,1138,1,1,2023,658.218199608611,1138
p69,658.218199608611,1138,1.03623660684091,1.02028756143701,2024,682.069793723357,1161.08724491532
p69,658.218199608611,1138,1.07378630535715,1.04098670802309,2025,706.785688676568,1184.64287373027
p69,658.218199608611,1138,1.11269667753553,1.06210578981722,2026,732.397203797919,1208.67638881199
p69,658.218199608611,1138,1.15301702957257,1.08365332628074,2027,758.936793323324,1233.19748530748
p69,658.218199608611,1138,1.19479845435406,1.10563800971408,2028,786.438087520079,1258.21605505463
p69,658.218199608611,1138,1.23809389619861,1.12806870876325,2029,814.935935302258,1283.74219057258
p69,658.218199608611,1138,1.28295821794728,1.15095447199746,2030,844.466448390331,1309.78618913311
p69,658.218199608611,1138,1.32944827048435,1.17430453155931,2031,875.067047070988,1336.3585569145
p69,658.218199608611,1138,1.37762296477721,1.19812830688908,2032,906.776507615132,1363.47001323978
p69,658.218199608611,1138,1.42754334652685,1.22243540852452,2033,939.635011414151,1391.1314949009
p69,658.218199608611,1138,1.47927267352329,1.24723564197774,2034,973.684195896716,1419.35416057067
p69,658.218199608611,1138,1.53287649580425,1.2725390116908,2035,1008.96720729063,1448.14939530413
p69,658.218199608611,1138,1.58842273871837,1.29835572507147,2036,1045.52875529659,1477.52881513133
p69,658.218199608611,1138,1.64598178899847,1.32469619661095,2037,1083.41516974313,1507.50427174326
p69,658.218199608611,1138,1.70562658395369,1.35157105208507,2038,1122.67445929459,1538.08785727281
p69,658.218199608611,1138,1.76743270389382,1.37899113284074,2039,1163.35637228637,1569.29190917276
p69,658.218199608611,1138,1.83147846790258,1.40696750016934,2040,1205.51245976477,1601.12901519271
p69,658.218199608611,1138,1.89784503308155,1.4355114397689,2041,1249.19614081108,1633.61201845701
p69,658.218199608611,1138,1.96661649739029,1.46463446629675,2042,1294.46277023283,1666.7540226457
p69,658.218199608611,1138,2.03788000621307,1.49434832801451,2043,1341.36970870795,1700.56839728051
p69,658.218199608611,1138,2.11172586278715,1.5246650115274,2044,1389.9763954707,1735.06878311818
p69,658.218199608611,1138,2.18824764263274,1.55559674661963,2045,1440.34442363151,1770.26909765314
p69,658.218199608611,1138,2.26754231212936,1.58715601118789,2046,1492.53761822614,1806.18354073182
p69,658.218199608611,1138,2.34971035138912,1.61935553627499,2047,1546.62211709306,1842.82660028093
p69,658.218199608611,1138,2.43485588158241,1.65220831120553,2048,1602.66645468161,1880.21305815189
p69,658.218199608611,1138,2.52308679687758,1.68572758882586,2049,1660.74164889702,1918.35799608382
p69,658.218199608611,1138,2.61451490116151,1.71992689085023,2050,1720.92129109241,1957.27680178756
p7,182.473907371168,289,1,1,2023,182.473907371168,289
p7,182.473907371168,289,1.01822744184345,1.01212571527911,2024,185.799939905722,292.504331715662
p7,182.473907371168,289,1.03678712332305,1.02439846352924,2025,189.18659750487,296.051155959952
p7,182.473907371168,289,1.05568510031746,1.03682002763035,2026,192.63498520845,299.640987985173
p7,182.473907371168,289,1.07492753908849,1.04939221208108,2027,196.14622819835,303.274349291431
p7,182.473907371168,289,1.09452071829315,1.06211684326088,2028,199.721472165647,306.951767702396
p7,182.473907371168,289,1.11447103103228,1.07499576969541,2029,203.361883684435,310.673777441973
p7,182.473907371168,289,1.13478498693663,1.08803086232498,2030,207.068650592467,314.44091921192
p7,182.473907371168,289,1.15546921429084,1.10122401477642,2031,210.842982378742,318.253740270384
p7,182.473907371168,289,1.17653046219622,1.11457714363811,2032,214.68611057815,322.112794511414
p7,182.473907371168,289,1.19797560277295,1.12809218873847,2033,218.599289173309,326.018642545417
p7,182.473907371168,289,1.21981163340236,1.14177111342769,2034,222.583795003735,329.971851780603
p7,182.473907371168,289,1.24204567901016,1.15561590486303,2035,226.640928182459,333.972996505415
p7,182.473907371168,289,1.26468499439123,1.1696285742974,2036,230.77201252025,338.02265797195
p7,182.473907371168,289,1.28773696657677,1.18381115737164,2037,234.978395957558,342.121424480405
p7,182.473907371168,289,1.31120911724471,1.19816571441016,2038,239.261451004342,346.269891464537
p7,182.473907371168,289,1.33510910517389,1.21269433072029,2039,243.622575187902,350.468661578163
p7,182.473907371168,289,1.3594447287431,1.22739911689519,2040,248.063191508891,354.718344782709
p7,182.473907371168,289,1.38422392847565,1.24228220912049,2041,252.584748905619,359.019558435821
p7,182.473907371168,289,1.40945478963025,1.25734576948458,2042,257.188722726838,363.372927381044
p7,182.473907371168,289,1.4351455448392,1.27259198629274,2043,261.876615213132,367.779084038603
p7,182.473907371168,289,1.46130457679464,1.288023074385,2044,266.649955987089,372.238668497266
p7,182.473907371168,289,1.48794042098373,1.30364127545791,2045,271.510302552401,376.752328607337
p7,182.473907371168,289,1.51506176847373,1.31944885839021,2046,276.459240802072,381.320720074771
p7,182.473907371168,289,1.54267746874781,1.33544811957239,2047,281.498385535876,385.944506556421
p7,182.473907371168,289,1.57079653259261,1.35164138324035,2048,286.629380987256,390.62435975646
p7,182.473907371168,289,1.59942813503833,1.36803100181298,2049,291.853901359824,395.36095952395
p7,182.473907371168,289,1.62858161835252,1.38461935623395,2050,297.173651373644,400.154993951613
p70,4150.4018590998,7175,1,1,2023,4150.4018590998,7175
p70,4150.4018590998,7175,1.0350433327065,1.01957368228389,2024,4295.84577231391,7315.44117038692
p70,4150.4018590998,7175,1.07131470058018,1.03953049360593,2025,4446.38652496892,7458.63129162257
p70,4150.4018590998,7175,1.10885713806597,1.05987793321219,2026,4602.2027273051,7604.62417079748
p70,4150.4018590998,7175,1.14771518767919,1.0806236471366,2027,4763.47924866081,7753.47466820507
p70,4150.4018590998,7175,1.18793495285334,1.10177543107411,2028,4930.40743681214,7905.23871795671
p70,4150.4018590998,7175,1.22956415263986,1.12334123331015,2029,5103.18534499894,8059.97334900032
p70,4150.4018590998,7175,1.2726521783248,1.14532915770736,2030,5282.01796690667,8217.73670655028
p70,4150.4018590998,7175,1.31725015202949,1.1677474667508,2031,5467.11747988269,8378.58807393696
p70,4150.4018590998,7175,1.36341098736475,1.1906045846528,2032,5658.70349667574,8542.58789488381
p70,4150.4018590998,7175,1.41118945221067,1.21390910051853,2033,5857.00332599718,8709.79779622048
p70,4150.4018590998,7175,1.46064223369639,1.23766977157361,2034,6062.25224221317,8880.28061104063
p70,4150.4018590998,7175,1.51182800545697,1.26189552645477,2035,6274.69376448777,9054.10040231294
p70,4150.4018590998,7175,1.56480749724721,1.28659546856505,2036,6494.57994570811,9231.32248695427
p70,4150.4018590998,7175,1.61964356699486,1.31177887949464,2037,6722.17167153452,9412.01346037405
p70,4150.4018590998,7175,1.67640127537901,1.33745522250859,2038,6957.73896993031,9596.24122149912
p70,4150.4018590998,7175,1.73514796302171,1.3636341461029,2039,7201.56133153855,9784.07499828832
p70,4150.4018590998,7175,1.79595333038489,1.39032548763019,2040,7453.92804128592,9975.58537374658
